Date and Time     Completed      Estimated Time Left
06-01-2025 15:20      1%    1 days and   9 hours
06-01-2025 15:41      2%    1 days and   9 hours
06-01-2025 16:00      3%    1 days and   9 hours
06-01-2025 16:20      4%    1 days and   8 hours
06-01-2025 16:40      5%    1 days and   8 hours
06-01-2025 17:00      6%    1 days and   8 hours
06-01-2025 17:19      7%    1 days and   7 hours
06-01-2025 17:39      8%    1 days and   7 hours
06-01-2025 17:59      9%    1 days and   7 hours
06-01-2025 18:18     10%    1 days and   6 hours
06-01-2025 18:38     11%    1 days and   6 hours
06-01-2025 18:57     12%    1 days and   5 hours
06-01-2025 19:16     13%    1 days and   5 hours
06-01-2025 19:36     14%    1 days and   5 hours
06-01-2025 19:55     15%    1 days and   4 hours
06-01-2025 20:14     16%    1 days and   4 hours
06-01-2025 20:33     17%    1 days and   4 hours
06-01-2025 20:52     18%    1 days and   3 hours
06-01-2025 21:12     19%    1 days and   3 hours
06-01-2025 21:31     20%    1 days and   3 hours
06-01-2025 21:50     21%    1 days and   2 hours
06-01-2025 22:10     22%    1 days and   2 hours
06-01-2025 22:29     23%    1 days and   2 hours
06-01-2025 22:48     24%    1 days and   1 hours
06-01-2025 23:08     25%    1 days and   1 hours
06-01-2025 23:28     26%    1 days and   1 hours
06-01-2025 23:47     27%   23 hours and  43 minutes
07-01-2025 00:07     28%   23 hours and  23 minutes
07-01-2025 00:26     29%   23 hours and   4 minutes
07-01-2025 00:46     30%   22 hours and  44 minutes
07-01-2025 01:05     31%   22 hours and  25 minutes
07-01-2025 01:25     32%   22 hours and   6 minutes
07-01-2025 01:44     33%   21 hours and  46 minutes
07-01-2025 02:03     34%   21 hours and  25 minutes
07-01-2025 02:23     35%   21 hours and   6 minutes
07-01-2025 02:42     36%   20 hours and  47 minutes
07-01-2025 03:02     37%   20 hours and  28 minutes
07-01-2025 03:22     38%   20 hours and   8 minutes
07-01-2025 03:41     39%   19 hours and  49 minutes
07-01-2025 04:01     40%   19 hours and  29 minutes
07-01-2025 04:20     41%   19 hours and   9 minutes
07-01-2025 04:39     42%   18 hours and  50 minutes
07-01-2025 04:59     43%   18 hours and  30 minutes
07-01-2025 05:18     44%   18 hours and  10 minutes
07-01-2025 05:37     45%   17 hours and  51 minutes
07-01-2025 05:57     46%   17 hours and  31 minutes
07-01-2025 06:17     47%   17 hours and  12 minutes
07-01-2025 06:36     48%   16 hours and  53 minutes
07-01-2025 06:56     49%   16 hours and  33 minutes
07-01-2025 07:15     50%   16 hours and  14 minutes
07-01-2025 07:34     51%   15 hours and  54 minutes
07-01-2025 07:54     52%   15 hours and  35 minutes
07-01-2025 08:13     53%   15 hours and  15 minutes
07-01-2025 08:33     54%   14 hours and  55 minutes
07-01-2025 08:52     55%   14 hours and  36 minutes
07-01-2025 09:10     56%   14 hours and  16 minutes
07-01-2025 09:30     57%   13 hours and  56 minutes
07-01-2025 09:49     58%   13 hours and  37 minutes
07-01-2025 10:09     59%   13 hours and  17 minutes
07-01-2025 10:28     60%   12 hours and  58 minutes
07-01-2025 10:48     61%   12 hours and  38 minutes
07-01-2025 11:07     62%   12 hours and  19 minutes
07-01-2025 11:26     63%   11 hours and  59 minutes
07-01-2025 11:46     64%   11 hours and  40 minutes
07-01-2025 12:05     65%   11 hours and  20 minutes
07-01-2025 12:25     66%   11 hours and   1 minutes
07-01-2025 12:44     67%   10 hours and  42 minutes
07-01-2025 13:04     68%   10 hours and  22 minutes
07-01-2025 13:24     69%   10 hours and   3 minutes
07-01-2025 13:42     70%    9 hours and  43 minutes
07-01-2025 14:02     71%    9 hours and  24 minutes
07-01-2025 14:21     72%    9 hours and   4 minutes
07-01-2025 14:41     73%    8 hours and  45 minutes
