Simulation state at cycle:     810000
##############################################################################                                           

Number-of-molecules: 401   

Box-size(s):    28.153556   50.617002

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.6293033031E+000
Box 2    0.2532346345E+002

Rotation per molecule type
Box 1    0.1029472325E+003
Box 2    0.1800000000E+003

Volume    Delta_Volume
Box 1   0.4302791930E+003
Box 2   0.1992033301E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 387   
Atomtype         X                  Y                   Z
  2       24.4940454059        2.0800998162       11.9505313542
  1       24.5734659449        1.5363742196       11.9740866624
  1       21.3640268385       21.1795312867        0.6469292488
  2       21.0027553801       20.9522407330        0.9938037760
  1       20.6380673412       20.7416400350        1.3475692056
  1       13.3329502211        6.9237792344       17.8235707263
  2       13.7418918639        6.8319147232       17.4674420356
  1       14.1766578821        6.7600374371       17.1383339013
  1        4.6710573209       14.2995485357       14.2269508710
  2        4.8736559601       14.3852164471       13.7228528643
  1        5.0878067001       14.4980489761       13.2289821525
  1        2.3436726923       16.2836927833        5.7537365852
  2        2.1328960453       16.3591856141        6.2561050133
  1        1.9248907220       16.4362244494        6.7593930048
  1       22.1369775170       15.1328009167       21.3322972791
  2       22.1545256018       14.5905570415       21.2419443904
  1       22.2059657809       14.0557280081       21.1244207244
  1       17.4061294926        6.8134920991        6.8359885501
  2       17.7054278322        6.5746685126        6.4411673268
  1       18.0194458577        6.3376758438        6.0568144244
  1        8.7546897169        4.9117696015       14.4457123703
  2        8.6975401110        4.3772873487       14.3292536051
  1        8.6489927104        3.8409914714       14.2173166543
  1       16.4996741270       24.7652895439        7.4215553081
  2       15.9690450736       24.9099663651        7.4227490696
  1       15.4434417776       25.0716171566        7.4332464863
  1       18.7859454295        7.1200597033        2.4228243383
  2       19.0094784621        7.4338321403        2.8153543895
  1       19.2250744070        7.7482369733        3.2117985704
  1        6.7598451022       21.7812839477       18.1624277664
  2        6.9372269126       21.9437593565       17.6678194013
  1        7.1032691132       22.0760267957       17.1604385669
  1       13.3298087905        6.1302937287        4.6332167593
  2       13.3442065363        6.6695686792        4.7403392719
  1       13.3387202025        7.2127623179        4.8264239394
  1       16.6443285923       13.5134925666        7.8288976304
  2       16.5757874538       13.8740034572        7.4192221367
  1       16.5258837020       14.2512092623        7.0220755704
  1        9.3190037571        5.0437036247        5.4944962389
  2        9.4936666736        5.2302709338        5.9815131839
  1        9.6891062333        5.4273876186        6.4563272423
  1       22.0298738795        9.4977240758       19.7720246794
  2       22.4190760463        9.8858646244       19.7528260370
  1       22.8132369263       10.2685381120       19.7264025331
  1       17.4115944574       26.9814351793        3.7566267610
  2       17.2735299636       27.2194799083        3.2804199755
  1       17.1442911377       27.4441922789        2.7953409352
  1        9.1159794944       12.9951690701        6.2616295898
  2        9.2517191396       13.2122603565        6.7484007086
  1        9.4083577798       13.4337921307        7.2268231249
  1       25.7745692643        8.4755081329       20.4399183030
  2       25.9031226452        8.1674497905       20.8770385221
  1       26.0633636218        7.8766353302       21.3155014944
  1       16.5219842108        2.8500914439        9.2932345082
  2       16.7672924256        2.9016437741        8.8036773236
  1       16.9996531300        2.9561288268        8.3081575146
  1       26.4876894342       25.4224923980       17.5676986431
  2       26.9902079309       25.4219941566       17.3441479503
  1       27.4950997686       25.4105767066       17.1263088514
  1       25.8032294063       11.7695362619       10.0877484379
  2       25.4512785483       12.1872764300       10.1519648336
  1       25.0845169270       12.5894747816       10.2308470121
  1        5.1576163009        6.1166307867       21.7602759618
  2        5.3392596879        6.6088921339       21.5953988985
  1        5.5184672076        7.0972166776       21.4167265619
  1       21.7602780296        5.3105991078        7.3565625682
  2       21.7543072271        5.6535749081        6.9266417035
  1       21.7358538306        6.0111670752        6.5091643829
  1       16.7246738462        4.3516031762       24.0308428564
  2       17.2728799482        4.3402890835       24.0737620954
  1       17.8195190835        4.3253792163       24.1326123341
  1       22.8589374242       26.3037242006        8.7820049924
  2       22.8603614256       26.1657475520        9.3144150004
  1       22.8862264776       26.0400050945        9.8492232206
  1       10.4744365719        1.5769631127       23.5901330791
  2       10.2468513979        2.0709938500       23.6716108007
  1       10.0252413476        2.5618909146       23.7830067456
  1        0.8136797101       19.0176658315       22.0442606111
  2        0.2641115337       19.0086190256       22.0244370182
  1       -0.2856648934       19.0224494974       22.0318260067
  1       20.5550661893        1.7349277333       12.9936373328
  2       20.5261486839        2.2360702298       12.7688708405
  1       20.5309969239        2.7420691663       12.5533677783
  1       27.4804754472       14.9875045362       17.6138498861
  2       27.5264000582       15.1675443512       18.1315144446
  1       27.5850728428       15.3519350363       18.6463518739
  1       26.2914973774        2.2948610000       19.3951828244
  2       25.7483076671        2.2445077072       19.4652505384
  1       25.2042945791        2.2214723633       19.5428336039
  1       27.4575779740        3.9221450678        2.6477186689
  2       27.1078033615        3.5016921438        2.7058311383
  1       26.7579672959        3.0835679274        2.7785419754
  1       20.6742238435        8.7899055109       13.7134131610
  2       20.9815062804        8.9160828048       14.1517700869
  1       21.2917209512        9.0453160761       14.5871614265
  1       23.9756189547        2.6610117118       28.2208311536
  2       24.3740857512        2.2944121342       28.1242446030
  1       24.7669078290        1.9187726844       28.0400673026
  1       23.6414382276       27.5396418944        3.1967982372
  2       24.1618434693       27.5925965951        3.0268741831
  1       24.6814468249       27.6350083460        2.8516212367
  1        9.1103882224       16.9703617627        0.7488308626
  2        9.3357664537       16.5451321324        0.4825895917
  1        9.5727914773       16.1401923917        0.1956349897
  1       16.1229478888       17.9563911892       19.1019942901
  2       16.3617458782       17.4655646529       19.0344307532
  1       16.6003842717       16.9730367685       18.9799514062
  1        7.0907556799       22.4779020386       25.7067818086
  2        7.6280402750       22.5553751592       25.6183330696
  1        8.1639045323       22.6325295801       25.5213965332
  1       23.7174501200       13.9816305737        2.7728697732
  2       23.5886043042       14.5034860625        2.6563982977
  1       23.4689074202       15.0324815982        2.5650945290
  1        0.5855270273        7.6867433681       27.8519532845
  2        0.3437594654        8.1140465382       28.0998654602
  1        0.1140590996        8.5474334004       28.3486898333
  1       27.5877127518       -0.0443652712        4.3119871970
  2       27.9678426824        0.1516486278        3.9661840922
  1       28.3400235540        0.3471754571        3.6115707016
  1       25.8711469824        7.0676667926       12.8771813208
  2       26.0849231904        7.4885711143       13.1593856525
  1       26.2853017775        7.9086494069       13.4524430683
  1       10.4635755807        6.4235174642        2.5374133326
  2       10.5207439403        6.3726067494        1.9927667703
  1       10.5991669598        6.3345800099        1.4497163159
