Date and Time     Completed      Estimated Time Left
01-01-2025 16:29      1%    1 days and   6 hours
01-01-2025 16:48      2%    1 days and   6 hours
01-01-2025 17:06      3%    1 days and   6 hours
01-01-2025 17:25      4%    1 days and   6 hours
01-01-2025 17:44      5%    1 days and   6 hours
01-01-2025 18:02      6%    1 days and   5 hours
01-01-2025 18:21      7%    1 days and   5 hours
01-01-2025 18:39      8%    1 days and   5 hours
01-01-2025 18:57      9%    1 days and   4 hours
01-01-2025 19:16     10%    1 days and   4 hours
01-01-2025 19:34     11%    1 days and   4 hours
01-01-2025 19:53     12%    1 days and   4 hours
01-01-2025 20:11     13%    1 days and   3 hours
01-01-2025 20:29     14%    1 days and   3 hours
01-01-2025 20:46     15%    1 days and   2 hours
01-01-2025 21:04     16%    1 days and   2 hours
01-01-2025 21:22     17%    1 days and   2 hours
01-01-2025 21:40     18%    1 days and   1 hours
01-01-2025 21:58     19%    1 days and   1 hours
01-01-2025 22:17     20%    1 days and   1 hours
01-01-2025 22:35     21%    1 days and   1 hours
01-01-2025 22:53     22%   23 hours and  44 minutes
01-01-2025 23:11     23%   23 hours and  25 minutes
01-01-2025 23:29     24%   23 hours and   6 minutes
01-01-2025 23:47     25%   22 hours and  47 minutes
02-01-2025 00:05     26%   22 hours and  28 minutes
02-01-2025 00:23     27%   22 hours and  10 minutes
02-01-2025 00:41     28%   21 hours and  51 minutes
02-01-2025 01:00     29%   21 hours and  33 minutes
02-01-2025 01:18     30%   21 hours and  15 minutes
02-01-2025 01:36     31%   20 hours and  57 minutes
02-01-2025 01:55     32%   20 hours and  39 minutes
02-01-2025 02:13     33%   20 hours and  21 minutes
02-01-2025 02:32     34%   20 hours and   4 minutes
02-01-2025 02:50     35%   19 hours and  45 minutes
02-01-2025 03:08     36%   19 hours and  27 minutes
02-01-2025 03:26     37%   19 hours and   8 minutes
02-01-2025 03:44     38%   18 hours and  49 minutes
02-01-2025 04:01     39%   18 hours and  30 minutes
02-01-2025 04:18     40%   18 hours and  10 minutes
02-01-2025 04:36     41%   17 hours and  51 minutes
02-01-2025 04:54     42%   17 hours and  32 minutes
02-01-2025 05:12     43%   17 hours and  14 minutes
02-01-2025 05:29     44%   16 hours and  55 minutes
02-01-2025 05:47     45%   16 hours and  36 minutes
02-01-2025 06:04     46%   16 hours and  17 minutes
02-01-2025 06:21     47%   15 hours and  58 minutes
02-01-2025 06:39     48%   15 hours and  39 minutes
02-01-2025 06:56     49%   15 hours and  21 minutes
02-01-2025 07:14     50%   15 hours and   2 minutes
02-01-2025 07:31     51%   14 hours and  43 minutes
02-01-2025 07:49     52%   14 hours and  25 minutes
02-01-2025 08:06     53%   14 hours and   6 minutes
02-01-2025 08:23     54%   13 hours and  47 minutes
02-01-2025 08:41     55%   13 hours and  29 minutes
02-01-2025 08:59     56%   13 hours and  11 minutes
02-01-2025 09:16     57%   12 hours and  53 minutes
02-01-2025 09:34     58%   12 hours and  35 minutes
02-01-2025 09:51     59%   12 hours and  16 minutes
02-01-2025 10:09     60%   11 hours and  58 minutes
02-01-2025 10:27     61%   11 hours and  40 minutes
02-01-2025 10:44     62%   11 hours and  22 minutes
02-01-2025 11:02     63%   11 hours and   3 minutes
02-01-2025 11:19     64%   10 hours and  45 minutes
02-01-2025 11:37     65%   10 hours and  27 minutes
02-01-2025 11:55     66%   10 hours and   9 minutes
02-01-2025 12:14     67%    9 hours and  52 minutes
02-01-2025 12:31     68%    9 hours and  34 minutes
02-01-2025 12:49     69%    9 hours and  16 minutes
02-01-2025 13:07     70%    8 hours and  58 minutes
02-01-2025 13:25     71%    8 hours and  40 minutes
02-01-2025 13:42     72%    8 hours and  22 minutes
02-01-2025 14:00     73%    8 hours and   4 minutes
02-01-2025 14:18     74%    7 hours and  46 minutes
02-01-2025 14:36     75%    7 hours and  28 minutes
02-01-2025 14:54     76%    7 hours and  10 minutes
02-01-2025 15:11     77%    6 hours and  52 minutes
02-01-2025 15:29     78%    6 hours and  34 minutes
02-01-2025 15:46     79%    6 hours and  16 minutes
