Date and Time     Completed      Estimated Time Left
06-01-2025 15:18      1%    1 days and   6 hours
06-01-2025 15:37      2%    1 days and   6 hours
06-01-2025 15:56      3%    1 days and   7 hours
06-01-2025 16:15      4%    1 days and   6 hours
06-01-2025 16:34      5%    1 days and   6 hours
06-01-2025 16:53      6%    1 days and   6 hours
06-01-2025 17:11      7%    1 days and   6 hours
06-01-2025 17:31      8%    1 days and   5 hours
06-01-2025 17:49      9%    1 days and   5 hours
06-01-2025 18:07     10%    1 days and   4 hours
06-01-2025 18:24     11%    1 days and   4 hours
06-01-2025 18:42     12%    1 days and   4 hours
06-01-2025 19:00     13%    1 days and   3 hours
06-01-2025 19:18     14%    1 days and   3 hours
06-01-2025 19:36     15%    1 days and   2 hours
06-01-2025 19:53     16%    1 days and   2 hours
06-01-2025 20:11     17%    1 days and   2 hours
06-01-2025 20:28     18%    1 days and   1 hours
06-01-2025 20:46     19%    1 days and   1 hours
06-01-2025 21:05     20%    1 days and   1 hours
06-01-2025 21:23     21%    1 days and   1 hours
06-01-2025 21:41     22%   23 hours and  41 minutes
06-01-2025 21:59     23%   23 hours and  20 minutes
06-01-2025 22:17     24%   23 hours and   1 minutes
06-01-2025 22:34     25%   22 hours and  41 minutes
06-01-2025 22:52     26%   22 hours and  21 minutes
06-01-2025 23:10     27%   22 hours and   3 minutes
06-01-2025 23:28     28%   21 hours and  46 minutes
06-01-2025 23:46     29%   21 hours and  26 minutes
07-01-2025 00:04     30%   21 hours and   8 minutes
07-01-2025 00:22     31%   20 hours and  50 minutes
07-01-2025 00:40     32%   20 hours and  31 minutes
07-01-2025 00:57     33%   20 hours and  12 minutes
07-01-2025 01:15     34%   19 hours and  52 minutes
07-01-2025 01:33     35%   19 hours and  34 minutes
07-01-2025 01:50     36%   19 hours and  15 minutes
07-01-2025 02:08     37%   18 hours and  56 minutes
07-01-2025 02:26     38%   18 hours and  37 minutes
07-01-2025 02:44     39%   18 hours and  19 minutes
07-01-2025 03:01     40%   18 hours and   1 minutes
07-01-2025 03:19     41%   17 hours and  43 minutes
07-01-2025 03:37     42%   17 hours and  24 minutes
07-01-2025 03:54     43%   17 hours and   5 minutes
07-01-2025 04:12     44%   16 hours and  47 minutes
07-01-2025 04:31     45%   16 hours and  30 minutes
07-01-2025 04:49     46%   16 hours and  12 minutes
07-01-2025 05:07     47%   15 hours and  54 minutes
07-01-2025 05:24     48%   15 hours and  35 minutes
07-01-2025 05:43     49%   15 hours and  18 minutes
07-01-2025 06:01     50%   15 hours and   0 minutes
07-01-2025 06:20     51%   14 hours and  43 minutes
07-01-2025 06:38     52%   14 hours and  25 minutes
07-01-2025 06:56     53%   14 hours and   7 minutes
07-01-2025 07:14     54%   13 hours and  49 minutes
07-01-2025 07:32     55%   13 hours and  31 minutes
07-01-2025 07:50     56%   13 hours and  13 minutes
07-01-2025 08:08     57%   12 hours and  55 minutes
07-01-2025 08:26     58%   12 hours and  36 minutes
07-01-2025 08:43     59%   12 hours and  18 minutes
07-01-2025 09:01     60%   12 hours and   0 minutes
07-01-2025 09:19     61%   11 hours and  42 minutes
07-01-2025 09:37     62%   11 hours and  24 minutes
07-01-2025 09:55     63%   11 hours and   6 minutes
07-01-2025 10:14     64%   10 hours and  48 minutes
07-01-2025 10:32     65%   10 hours and  30 minutes
07-01-2025 10:49     66%   10 hours and  12 minutes
07-01-2025 11:07     67%    9 hours and  54 minutes
07-01-2025 11:25     68%    9 hours and  36 minutes
07-01-2025 11:43     69%    9 hours and  18 minutes
07-01-2025 12:01     70%    9 hours and   0 minutes
07-01-2025 12:19     71%    8 hours and  42 minutes
07-01-2025 12:37     72%    8 hours and  24 minutes
07-01-2025 12:55     73%    8 hours and   6 minutes
07-01-2025 13:13     74%    7 hours and  48 minutes
07-01-2025 13:31     75%    7 hours and  30 minutes
07-01-2025 13:49     76%    7 hours and  12 minutes
07-01-2025 14:07     77%    6 hours and  54 minutes
07-01-2025 14:25     78%    6 hours and  36 minutes
07-01-2025 14:43     79%    6 hours and  18 minutes
07-01-2025 15:01     80%    6 hours and   0 minutes
07-01-2025 15:18     81%    5 hours and  41 minutes
07-01-2025 15:36     82%    5 hours and  23 minutes
07-01-2025 15:54     83%    5 hours and   5 minutes
07-01-2025 16:13     84%    4 hours and  47 minutes
07-01-2025 16:31     85%    4 hours and  30 minutes
07-01-2025 16:48     86%    4 hours and  11 minutes
07-01-2025 17:06     87%    3 hours and  53 minutes
07-01-2025 17:24     88%    3 hours and  35 minutes
07-01-2025 17:43     89%    3 hours and  18 minutes
07-01-2025 18:01     90%    3 hours and   0 minutes
07-01-2025 18:19     91%    2 hours and  42 minutes
07-01-2025 18:37     92%    2 hours and  24 minutes
07-01-2025 18:55     93%    2 hours and   6 minutes
07-01-2025 19:13     94%    1 hours and  48 minutes
07-01-2025 19:31     95%    1 hours and  30 minutes
07-01-2025 19:49     96%    1 hours and  12 minutes
07-01-2025 20:07     97%   54 minutes and  0 seconds
07-01-2025 20:25     98%   36 minutes and  0 seconds
07-01-2025 20:43     99%   18 minutes and  0 seconds
07-01-2025 21:01    100%    0 minutes and  0 seconds
