Date and Time     Completed      Estimated Time Left
06-01-2025 15:19      1%    1 days and   7 hours
06-01-2025 15:39      2%    1 days and   8 hours
06-01-2025 15:59      3%    1 days and   8 hours
06-01-2025 16:18      4%    1 days and   8 hours
06-01-2025 16:37      5%    1 days and   7 hours
06-01-2025 16:56      6%    1 days and   7 hours
06-01-2025 17:16      7%    1 days and   6 hours
06-01-2025 17:35      8%    1 days and   6 hours
06-01-2025 17:54      9%    1 days and   6 hours
06-01-2025 18:13     10%    1 days and   5 hours
06-01-2025 18:32     11%    1 days and   5 hours
06-01-2025 18:51     12%    1 days and   5 hours
06-01-2025 19:10     13%    1 days and   4 hours
06-01-2025 19:29     14%    1 days and   4 hours
06-01-2025 19:48     15%    1 days and   4 hours
06-01-2025 20:07     16%    1 days and   3 hours
06-01-2025 20:26     17%    1 days and   3 hours
06-01-2025 20:45     18%    1 days and   3 hours
06-01-2025 21:04     19%    1 days and   2 hours
06-01-2025 21:23     20%    1 days and   2 hours
06-01-2025 21:41     21%    1 days and   2 hours
06-01-2025 22:00     22%    1 days and   1 hours
06-01-2025 22:19     23%    1 days and   1 hours
06-01-2025 22:38     24%    1 days and   1 hours
06-01-2025 22:57     25%   23 hours and  50 minutes
06-01-2025 23:16     26%   23 hours and  30 minutes
06-01-2025 23:35     27%   23 hours and  11 minutes
06-01-2025 23:54     28%   22 hours and  52 minutes
07-01-2025 00:13     29%   22 hours and  32 minutes
07-01-2025 00:32     30%   22 hours and  12 minutes
07-01-2025 00:51     31%   21 hours and  54 minutes
07-01-2025 01:10     32%   21 hours and  34 minutes
07-01-2025 01:29     33%   21 hours and  15 minutes
07-01-2025 01:47     34%   20 hours and  55 minutes
07-01-2025 02:07     35%   20 hours and  37 minutes
07-01-2025 02:26     36%   20 hours and  18 minutes
07-01-2025 02:45     37%   19 hours and  59 minutes
07-01-2025 03:04     38%   19 hours and  40 minutes
07-01-2025 03:23     39%   19 hours and  20 minutes
07-01-2025 03:41     40%   19 hours and   1 minutes
07-01-2025 04:00     41%   18 hours and  42 minutes
07-01-2025 04:20     42%   18 hours and  23 minutes
07-01-2025 04:38     43%   18 hours and   4 minutes
07-01-2025 04:57     44%   17 hours and  45 minutes
07-01-2025 05:17     45%   17 hours and  26 minutes
07-01-2025 05:36     46%   17 hours and   7 minutes
07-01-2025 05:54     47%   16 hours and  48 minutes
07-01-2025 06:14     48%   16 hours and  29 minutes
07-01-2025 06:33     49%   16 hours and  10 minutes
07-01-2025 06:52     50%   15 hours and  51 minutes
07-01-2025 07:11     51%   15 hours and  31 minutes
07-01-2025 07:30     52%   15 hours and  13 minutes
07-01-2025 07:49     53%   14 hours and  53 minutes
07-01-2025 08:08     54%   14 hours and  34 minutes
07-01-2025 08:27     55%   14 hours and  15 minutes
07-01-2025 08:46     56%   13 hours and  57 minutes
07-01-2025 09:05     57%   13 hours and  38 minutes
07-01-2025 09:24     58%   13 hours and  19 minutes
07-01-2025 09:43     59%   13 hours and   0 minutes
07-01-2025 10:02     60%   12 hours and  41 minutes
07-01-2025 10:22     61%   12 hours and  22 minutes
07-01-2025 10:41     62%   12 hours and   3 minutes
07-01-2025 11:00     63%   11 hours and  44 minutes
07-01-2025 11:19     64%   11 hours and  25 minutes
07-01-2025 11:38     65%   11 hours and   6 minutes
07-01-2025 11:57     66%   10 hours and  47 minutes
07-01-2025 12:16     67%   10 hours and  28 minutes
07-01-2025 12:35     68%   10 hours and   9 minutes
07-01-2025 12:54     69%    9 hours and  50 minutes
07-01-2025 13:13     70%    9 hours and  30 minutes
07-01-2025 13:32     71%    9 hours and  11 minutes
07-01-2025 13:51     72%    8 hours and  52 minutes
07-01-2025 14:10     73%    8 hours and  33 minutes
07-01-2025 14:29     74%    8 hours and  14 minutes
07-01-2025 14:47     75%    7 hours and  55 minutes
07-01-2025 15:07     76%    7 hours and  36 minutes
07-01-2025 15:26     77%    7 hours and  17 minutes
07-01-2025 15:44     78%    6 hours and  58 minutes
07-01-2025 16:03     79%    6 hours and  39 minutes
07-01-2025 16:22     80%    6 hours and  20 minutes
07-01-2025 16:41     81%    6 hours and   1 minutes
07-01-2025 17:00     82%    5 hours and  42 minutes
07-01-2025 17:19     83%    5 hours and  23 minutes
07-01-2025 17:38     84%    5 hours and   4 minutes
07-01-2025 17:56     85%    4 hours and  45 minutes
07-01-2025 18:16     86%    4 hours and  26 minutes
07-01-2025 18:35     87%    4 hours and   7 minutes
07-01-2025 18:53     88%    3 hours and  48 minutes
07-01-2025 19:11     89%    3 hours and  28 minutes
07-01-2025 19:30     90%    3 hours and   9 minutes
07-01-2025 19:49     91%    2 hours and  50 minutes
07-01-2025 20:07     92%    2 hours and  31 minutes
07-01-2025 20:25     93%    2 hours and  12 minutes
07-01-2025 20:44     94%    1 hours and  53 minutes
07-01-2025 21:02     95%    1 hours and  34 minutes
07-01-2025 21:21     96%    1 hours and  15 minutes
07-01-2025 21:39     97%   56 minutes and 51 seconds
07-01-2025 21:58     98%   37 minutes and 53 seconds
07-01-2025 22:16     99%   18 minutes and 56 seconds
07-01-2025 22:35    100%    0 minutes and  0 seconds
