Date and Time     Completed      Estimated Time Left
01-01-2025 16:47      1%    2 days and   6 hours
01-01-2025 17:21      2%    2 days and   7 hours
01-01-2025 17:57      3%    2 days and   7 hours
01-01-2025 18:33      4%    2 days and   8 hours
01-01-2025 19:09      5%    2 days and   8 hours
01-01-2025 19:46      6%    2 days and   8 hours
01-01-2025 20:22      7%    2 days and   7 hours
01-01-2025 20:58      8%    2 days and   7 hours
01-01-2025 21:35      9%    2 days and   6 hours
01-01-2025 22:12     10%    2 days and   6 hours
01-01-2025 22:48     11%    2 days and   6 hours
01-01-2025 23:25     12%    2 days and   5 hours
02-01-2025 00:01     13%    2 days and   4 hours
02-01-2025 00:37     14%    2 days and   4 hours
02-01-2025 01:14     15%    2 days and   3 hours
02-01-2025 01:50     16%    2 days and   3 hours
02-01-2025 02:26     17%    2 days and   2 hours
02-01-2025 03:03     18%    2 days and   2 hours
02-01-2025 03:39     19%    2 days and   1 hours
02-01-2025 04:16     20%    2 days and   1 hours
02-01-2025 04:52     21%    1 days and  24 hours
02-01-2025 05:28     22%    1 days and  23 hours
02-01-2025 06:05     23%    1 days and  23 hours
02-01-2025 06:41     24%    1 days and  22 hours
02-01-2025 07:17     25%    1 days and  22 hours
02-01-2025 07:53     26%    1 days and  21 hours
02-01-2025 08:29     27%    1 days and  20 hours
02-01-2025 09:04     28%    1 days and  20 hours
02-01-2025 09:41     29%    1 days and  19 hours
02-01-2025 10:16     30%    1 days and  19 hours
02-01-2025 10:52     31%    1 days and  18 hours
02-01-2025 11:28     32%    1 days and  17 hours
02-01-2025 12:05     33%    1 days and  17 hours
02-01-2025 12:42     34%    1 days and  16 hours
02-01-2025 13:18     35%    1 days and  16 hours
02-01-2025 13:54     36%    1 days and  15 hours
02-01-2025 14:30     37%    1 days and  14 hours
02-01-2025 15:06     38%    1 days and  14 hours
02-01-2025 15:42     39%    1 days and  13 hours
02-01-2025 16:19     40%    1 days and  13 hours
02-01-2025 16:55     41%    1 days and  12 hours
02-01-2025 17:32     42%    1 days and  11 hours
02-01-2025 18:08     43%    1 days and  11 hours
02-01-2025 18:44     44%    1 days and  10 hours
02-01-2025 19:21     45%    1 days and  10 hours
02-01-2025 19:58     46%    1 days and   9 hours
02-01-2025 20:34     47%    1 days and   8 hours
02-01-2025 21:11     48%    1 days and   8 hours
02-01-2025 21:47     49%    1 days and   7 hours
02-01-2025 22:24     50%    1 days and   7 hours
02-01-2025 23:00     51%    1 days and   6 hours
02-01-2025 23:36     52%    1 days and   5 hours
03-01-2025 00:13     53%    1 days and   5 hours
03-01-2025 00:49     54%    1 days and   4 hours
03-01-2025 01:25     55%    1 days and   4 hours
03-01-2025 02:01     56%    1 days and   3 hours
03-01-2025 02:38     57%    1 days and   2 hours
03-01-2025 03:14     58%    1 days and   2 hours
03-01-2025 03:51     59%    1 days and   1 hours
03-01-2025 04:26     60%    1 days and   1 hours
03-01-2025 05:03     61%   23 hours and  31 minutes
03-01-2025 05:39     62%   22 hours and  55 minutes
03-01-2025 06:15     63%   22 hours and  18 minutes
03-01-2025 06:51     64%   21 hours and  42 minutes
03-01-2025 07:27     65%   21 hours and   6 minutes
03-01-2025 08:04     66%   20 hours and  30 minutes
03-01-2025 08:41     67%   19 hours and  54 minutes
03-01-2025 09:17     68%   19 hours and  18 minutes
03-01-2025 09:53     69%   18 hours and  42 minutes
03-01-2025 10:30     70%   18 hours and   6 minutes
03-01-2025 11:06     71%   17 hours and  30 minutes
03-01-2025 11:42     72%   16 hours and  53 minutes
03-01-2025 12:19     73%   16 hours and  17 minutes
03-01-2025 12:55     74%   15 hours and  41 minutes
03-01-2025 13:32     75%   15 hours and   5 minutes
03-01-2025 14:08     76%   14 hours and  29 minutes
03-01-2025 14:45     77%   13 hours and  53 minutes
03-01-2025 15:21     78%   13 hours and  17 minutes
03-01-2025 15:57     79%   12 hours and  40 minutes
03-01-2025 16:33     80%   12 hours and   4 minutes
03-01-2025 17:09     81%   11 hours and  28 minutes
03-01-2025 17:46     82%   10 hours and  52 minutes
03-01-2025 18:22     83%   10 hours and  15 minutes
03-01-2025 18:58     84%    9 hours and  39 minutes
03-01-2025 19:35     85%    9 hours and   3 minutes
03-01-2025 20:11     86%    8 hours and  27 minutes
03-01-2025 20:46     87%    7 hours and  50 minutes
03-01-2025 21:21     88%    7 hours and  14 minutes
03-01-2025 21:56     89%    6 hours and  38 minutes
03-01-2025 22:31     90%    6 hours and   1 minutes
03-01-2025 23:07     91%    5 hours and  25 minutes
03-01-2025 23:42     92%    4 hours and  49 minutes
04-01-2025 00:17     93%    4 hours and  13 minutes
04-01-2025 00:53     94%    3 hours and  36 minutes
04-01-2025 01:28     95%    3 hours and   0 minutes
04-01-2025 02:03     96%    2 hours and  24 minutes
04-01-2025 02:39     97%    1 hours and  48 minutes
04-01-2025 03:14     98%    1 hours and  12 minutes
04-01-2025 03:49     99%   36 minutes and  6 seconds
04-01-2025 04:24    100%    0 minutes and  0 seconds
