# Time-averaged data for fix DensAve
# TimeStep v_Density
20000 0.221754
40000 0.22372
60000 0.215224
80000 0.221416
100000 0.224981
120000 0.226569
140000 0.217941
160000 0.215563
180000 0.217124
200000 0.222523
220000 0.220903
240000 0.225984
260000 0.220659
280000 0.220069
300000 0.224176
320000 0.22044
340000 0.22162
360000 0.224726
380000 0.225879
400000 0.228418
420000 0.222551
440000 0.223428
460000 0.226979
480000 0.225109
500000 0.22122
520000 0.224573
540000 0.224084
560000 0.231422
580000 0.229364
600000 0.221328
620000 0.222022
640000 0.224657
660000 0.218613
680000 0.22468
700000 0.21991
720000 0.234245
740000 0.233301
760000 0.236351
780000 0.227853
800000 0.238339
820000 0.235006
840000 0.230883
860000 0.231238
880000 0.230233
900000 0.228277
920000 0.228532
940000 0.232937
960000 0.232485
980000 0.235988
1000000 0.22705
1020000 0.232707
1040000 0.228772
1060000 0.226254
1080000 0.230693
1100000 0.228481
1120000 0.228699
1140000 0.231805
1160000 0.225444
1180000 0.230425
1200000 0.230652
1220000 0.227336
1240000 0.238479
1260000 0.240434
1280000 0.23831
1300000 0.236872
1320000 0.240085
1340000 0.236606
1360000 0.233811
1380000 0.230053
1400000 0.229254
1420000 0.231957
1440000 0.236167
1460000 0.236158
1480000 0.234179
1500000 0.235691
1520000 0.236313
1540000 0.237028
1560000 0.234101
1580000 0.237507
1600000 0.234794
1620000 0.23881
1640000 0.236718
1660000 0.239812
1680000 0.240603
1700000 0.237531
1720000 0.23255
1740000 0.23767
1760000 0.233969
1780000 0.230694
1800000 0.239707
1820000 0.244337
1840000 0.236724
1860000 0.237255
1880000 0.240603
1900000 0.232819
1920000 0.23534
1940000 0.237095
1960000 0.234797
1980000 0.236824
2000000 0.238763
