# Time-averaged data for fix DensAve
# TimeStep v_Density
20000 0.222858
40000 0.220017
60000 0.221594
80000 0.224128
100000 0.220599
120000 0.222301
140000 0.22526
160000 0.222426
180000 0.228652
200000 0.218375
220000 0.223141
240000 0.231067
260000 0.224685
280000 0.22597
300000 0.226259
320000 0.222382
340000 0.228225
360000 0.224397
380000 0.223401
400000 0.222455
420000 0.223855
440000 0.230358
460000 0.226666
480000 0.234302
500000 0.228382
520000 0.223211
540000 0.223035
560000 0.224719
580000 0.228197
600000 0.234037
620000 0.224626
640000 0.224176
660000 0.231902
680000 0.230325
700000 0.235704
720000 0.228076
740000 0.231961
760000 0.227131
780000 0.235539
800000 0.228479
820000 0.224599
840000 0.232629
860000 0.227852
880000 0.226103
900000 0.227006
920000 0.230715
940000 0.231887
960000 0.234475
980000 0.225146
1000000 0.232818
1020000 0.23197
1040000 0.233538
1060000 0.232575
1080000 0.230673
1100000 0.236799
1120000 0.231479
1140000 0.231391
1160000 0.236243
1180000 0.232881
1200000 0.232686
1220000 0.229112
1240000 0.225537
1260000 0.230026
1280000 0.23298
1300000 0.233458
1320000 0.231817
1340000 0.242569
1360000 0.23702
1380000 0.237604
1400000 0.233831
1420000 0.235502
1440000 0.241316
1460000 0.236639
1480000 0.239124
1500000 0.243899
1520000 0.232868
1540000 0.236442
1560000 0.232896
1580000 0.237014
1600000 0.232886
1620000 0.227186
1640000 0.237751
1660000 0.239071
1680000 0.23657
1700000 0.232252
1720000 0.232089
1740000 0.238062
1760000 0.228837
1780000 0.232913
1800000 0.236811
1820000 0.23664
1840000 0.239165
1860000 0.238021
1880000 0.237964
1900000 0.235829
1920000 0.230021
1940000 0.237664
1960000 0.235803
1980000 0.237325
2000000 0.236201
