Pressure SD-Density_box1 SD_Density_box2
70 0.04441422391348825 0.021437135952060222
80 0.09174859902995844 0.19071874553186735
90 0.23309494206736073 0.20183311729205544
100 0.09163639188300272 0.2669301866123937
