Date and Time     Completed      Estimated Time Left
01-01-2025 16:44      1%    1 days and  24 hours
01-01-2025 17:15      2%    2 days and   1 hours
01-01-2025 17:45      3%    2 days and   1 hours
01-01-2025 18:17      4%    2 days and   1 hours
01-01-2025 18:48      5%    2 days and   1 hours
01-01-2025 19:19      6%    2 days and   1 hours
01-01-2025 19:51      7%    1 days and  24 hours
01-01-2025 20:22      8%    1 days and  24 hours
01-01-2025 20:53      9%    1 days and  23 hours
01-01-2025 21:25     10%    1 days and  23 hours
01-01-2025 21:56     11%    1 days and  22 hours
01-01-2025 22:27     12%    1 days and  22 hours
01-01-2025 22:58     13%    1 days and  21 hours
01-01-2025 23:28     14%    1 days and  21 hours
02-01-2025 00:00     15%    1 days and  20 hours
02-01-2025 00:30     16%    1 days and  20 hours
02-01-2025 01:01     17%    1 days and  19 hours
02-01-2025 01:32     18%    1 days and  19 hours
02-01-2025 02:04     19%    1 days and  18 hours
02-01-2025 02:34     20%    1 days and  18 hours
02-01-2025 03:06     21%    1 days and  17 hours
02-01-2025 03:37     22%    1 days and  17 hours
02-01-2025 04:08     23%    1 days and  16 hours
02-01-2025 04:38     24%    1 days and  16 hours
02-01-2025 05:09     25%    1 days and  15 hours
02-01-2025 05:41     26%    1 days and  15 hours
02-01-2025 06:11     27%    1 days and  14 hours
02-01-2025 06:42     28%    1 days and  14 hours
02-01-2025 07:13     29%    1 days and  13 hours
02-01-2025 07:44     30%    1 days and  13 hours
02-01-2025 08:16     31%    1 days and  12 hours
02-01-2025 08:47     32%    1 days and  12 hours
02-01-2025 09:19     33%    1 days and  11 hours
02-01-2025 09:50     34%    1 days and  11 hours
02-01-2025 10:21     35%    1 days and  10 hours
02-01-2025 10:53     36%    1 days and  10 hours
02-01-2025 11:24     37%    1 days and   9 hours
02-01-2025 11:55     38%    1 days and   9 hours
02-01-2025 12:26     39%    1 days and   8 hours
02-01-2025 12:58     40%    1 days and   8 hours
02-01-2025 13:29     41%    1 days and   7 hours
02-01-2025 14:00     42%    1 days and   7 hours
02-01-2025 14:32     43%    1 days and   6 hours
02-01-2025 15:03     44%    1 days and   6 hours
02-01-2025 15:34     45%    1 days and   5 hours
02-01-2025 16:04     46%    1 days and   4 hours
02-01-2025 16:35     47%    1 days and   4 hours
02-01-2025 17:06     48%    1 days and   3 hours
02-01-2025 17:36     49%    1 days and   3 hours
02-01-2025 18:07     50%    1 days and   2 hours
02-01-2025 18:39     51%    1 days and   2 hours
02-01-2025 19:11     52%    1 days and   1 hours
02-01-2025 19:42     53%    1 days and   1 hours
02-01-2025 20:13     54%   23 hours and  48 minutes
02-01-2025 20:43     55%   23 hours and  17 minutes
02-01-2025 21:15     56%   22 hours and  46 minutes
02-01-2025 21:45     57%   22 hours and  15 minutes
02-01-2025 22:16     58%   21 hours and  43 minutes
02-01-2025 22:47     59%   21 hours and  12 minutes
02-01-2025 23:18     60%   20 hours and  41 minutes
02-01-2025 23:49     61%   20 hours and  10 minutes
03-01-2025 00:20     62%   19 hours and  39 minutes
03-01-2025 00:51     63%   19 hours and   8 minutes
03-01-2025 01:22     64%   18 hours and  37 minutes
03-01-2025 01:54     65%   18 hours and   7 minutes
03-01-2025 02:25     66%   17 hours and  35 minutes
03-01-2025 02:57     67%   17 hours and   5 minutes
03-01-2025 03:28     68%   16 hours and  34 minutes
03-01-2025 04:00     69%   16 hours and   3 minutes
03-01-2025 04:30     70%   15 hours and  32 minutes
03-01-2025 05:01     71%   15 hours and   0 minutes
03-01-2025 05:31     72%   14 hours and  29 minutes
03-01-2025 06:01     73%   13 hours and  58 minutes
03-01-2025 06:32     74%   13 hours and  26 minutes
03-01-2025 07:03     75%   12 hours and  55 minutes
03-01-2025 07:34     76%   12 hours and  24 minutes
03-01-2025 08:04     77%   11 hours and  53 minutes
03-01-2025 08:35     78%   11 hours and  22 minutes
03-01-2025 09:07     79%   10 hours and  51 minutes
03-01-2025 09:38     80%   10 hours and  20 minutes
03-01-2025 10:10     81%    9 hours and  49 minutes
03-01-2025 10:41     82%    9 hours and  18 minutes
03-01-2025 11:13     83%    8 hours and  47 minutes
03-01-2025 11:43     84%    8 hours and  16 minutes
03-01-2025 12:14     85%    7 hours and  45 minutes
03-01-2025 12:46     86%    7 hours and  14 minutes
03-01-2025 13:17     87%    6 hours and  43 minutes
03-01-2025 13:48     88%    6 hours and  12 minutes
03-01-2025 14:19     89%    5 hours and  41 minutes
03-01-2025 14:50     90%    5 hours and  10 minutes
03-01-2025 15:21     91%    4 hours and  39 minutes
03-01-2025 15:51     92%    4 hours and   8 minutes
03-01-2025 16:21     93%    3 hours and  37 minutes
03-01-2025 16:51     94%    3 hours and   6 minutes
03-01-2025 17:22     95%    2 hours and  35 minutes
03-01-2025 17:52     96%    2 hours and   4 minutes
03-01-2025 18:23     97%    1 hours and  33 minutes
03-01-2025 18:55     98%    1 hours and   2 minutes
03-01-2025 19:26     99%   31 minutes and  1 seconds
03-01-2025 19:57    100%    0 minutes and  0 seconds
