Simulation state at cycle:    1100000
##############################################################################                                           

Number-of-molecules: 401   

Box-size(s):    28.098477   50.634002

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.7447233577E+000
Box 2    0.2528448359E+002

Rotation per molecule type
Box 1    0.1433645669E+003
Box 2    0.1800000000E+003

Volume    Delta_Volume
Box 1   0.4858406610E+003
Box 2   0.2249262319E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 350   
Atomtype         X                  Y                   Z
  1       12.7225411213        2.6940972633       13.8354921390
  2       12.8567088668        2.2021715309       14.0416670401
  1       13.0160506261        1.7213002997       14.2558470153
  1       19.7905802196       19.4597705928       24.2325227142
  2       20.0495827410       19.8917603073       24.0116096532
  1       20.3272242815       20.3236685352       23.8144537338
  1       13.4353368341        3.7621525392        5.2776769042
  2       13.6627306322        4.1264247421        4.9340232664
  1       13.8875357985        4.4944895096        4.5927155414
  1        7.4675097392       13.3863524413       17.6733416699
  2        7.1381060714       13.7368479961       17.4066094265
  1        6.8186793018       14.1128654215       17.1635509281
  1        0.3027745522        6.7307462896       27.4129201520
  2        0.6279350907        6.9346070356       27.8068889584
  1        0.9481595415        7.1479582826       28.1998743850
  1        9.3405176783       21.5605691389        3.9797102935
  2        9.0113281789       21.8493909535        4.3124507823
  1        8.6628052277       22.1273760897        4.6345625883
  1       10.7720094118       28.1774093188       12.1484864950
  2       10.7271360754       27.8972804995       11.6773026368
  1       10.6731616434       27.6244313253       11.2028133452
  1       13.0797386678       15.8925324195        2.9926392394
  2       13.0254196211       16.4212962101        2.8513654098
  1       12.9941639849       16.9488544237        2.6990321719
  1       16.4480305136       24.1236557955        5.4830372971
  2       15.9966505504       24.2479247424        5.7716778306
  1       15.5543732213       24.4043584854        6.0587653560
  1        0.5719603259        8.7353725610       18.7068289567
  2        0.1523482456        8.3811159198       18.6763669441
  1       -0.2528906095        8.0100723363       18.6517066847
  1       25.3606499936       14.5122124177       19.8148722227
  2       25.0468725264       14.9401961765       19.9593492218
  1       24.7458085678       15.3719409758       20.1189014707
  1       14.3623986225        6.7241993904        8.3737018247
  2       14.3364365606        6.8438186697        7.8374955217
  1       14.2995605995        6.9597361765        7.3011157177
  1        1.9348063187       19.6934418265        5.1529589621
  2        1.5317123457       19.4315904330        4.8856593239
  1        1.1200570691       19.1695644456        4.6319226214
  1       -0.2389689317        5.3474427624       24.3037194553
  2        0.0127254391        5.4168202597       23.8196360879
  1        0.2737189618        5.4932053555       23.3415694637
  1       18.3851647636       25.6504604464       24.2477942379
  2       18.4782533026       25.1353744121       24.0789129152
  1       18.5548843035       24.6305877911       23.8744180352
  1        0.3120036504        7.6685953235        6.8394220139
  2        0.3913460924        7.8048545707        7.3663358536
  1        0.4695937147        7.9183229395        7.8987851355
  1        0.5551110974        3.0969735885       18.6635887490
  2        0.1170534399        2.7766953917       18.7531843144
  1       -0.3344217963        2.4679369308       18.8109625364
  1       21.1100468138        8.9486697145       25.4235795713
  2       20.8846288043        8.8967870271       24.9245856758
  1       20.6715170947        8.8180179732       24.4237076125
  1       10.3664460062       16.5919118120       10.4565883157
  2       10.0048960689       16.5397199954       10.0454220998
  1        9.6435101279       16.4775492885        9.6355013710
  1       21.1740878643       24.4257741951       26.3872784961
  2       21.0811759474       23.9162987143       26.5724867845
  1       21.0303286285       23.3954827402       26.7417949954
  1        7.7008048814       21.5201192288       11.9187015857
  2        7.8467894346       22.0447400546       11.9959123322
  1        7.9716897872       22.5685675790       12.1077364152
  1        3.6738905867       12.8784154020       22.7095352534
  2        3.9546320141       13.3504137378       22.7395656025
  1        4.2126079417       13.8328432381       22.7962242034
  1        1.1121140871       15.6222324316        9.7809190128
  2        1.2731830925       15.1889366087       10.0789316054
  1        1.4567632812       14.7760644431       10.3925155466
  1       22.9337158400       11.7211400059        1.5620901923
  2       22.9983893785       11.1959679109        1.7121288675
  1       23.0652014324       10.6748740594        1.8749089227
  1       12.7591584094        6.3135109635        1.1972720044
  2       12.3433108285        6.2585517083        1.5530110517
  1       11.9434988834        6.1876735676        1.9239917745
  1       11.7934994619       25.2399192585       21.5874852082
  2       11.4503875405       24.9963813230       21.2332769596
  1       11.1170202061       24.7415353462       20.8777214120
  1        6.6779959256        5.6314175488        5.6080197496
  2        6.9524552056        5.8021893788        5.1630376311
  1        7.1920870667        5.9908834486        4.7053574829
  1       15.7497180996       15.3858794794        6.0092238776
  2       16.0502640097       14.9863911699        6.2385298882
  1       16.3527304808       14.5715635262        6.4358419732
  1       11.5825889399       10.4338303436        7.9420684196
  2       11.5656805576       10.0085059741        7.5937678492
  1       11.5237049009        9.6001126638        7.2277720195
  1       22.6705526248       10.3151553869       19.8600083778
  2       22.9851103226       10.7588323201       19.7781289927
  1       23.3064590516       11.1948932027       19.6828090052
  1        3.8512984917       11.6397673322        7.3510475840
  2        3.7150293401       11.2525942179        6.9849496492
  1        3.6049265274       10.8566951390        6.6193798352
  1       13.5974312038       13.1180675624        7.0140553704
  2       13.8396181827       12.6247482946        6.9921107297
  1       14.0745293152       12.1312633486        6.9305528961
  1       20.9657696104        0.0718321777       14.6627282780
  2       20.8682186141        0.5410211690       14.3928292347
  1       20.7436868889        1.0201031027       14.1530953214
  1       17.2697800898       19.2603956500       21.2118908028
  2       16.7871801122       19.0231806536       21.0964511775
  1       16.3045878735       18.7968813450       20.9608290811
  1       27.1827075771        1.0394383126       22.4350750770
  2       26.9228983754        0.6140538942       22.6675557757
  1       26.6659304546        0.1864719796       22.8991614599
  1        3.6800934031        0.9788365778       16.4910094915
  2        3.5300364367        0.5770284897       16.1467230307
  1        3.3873171770        0.1843665551       15.7890250896
  1       12.3100965037        9.1218438736       22.4246474572
  2       12.8104225301        9.0289067477       22.2159932984
  1       13.3091538644        8.9358889928       22.0035909622
  1       20.4889785364        6.8282461604       17.7035598505
  2       20.4800424994        7.3751673398       17.7609825877
  1       20.4975093232        7.9208697137       17.8273439334
  1        5.2691814523       14.4856425517        6.4095755477
  2        5.2382903617       14.5611545793        6.9534906828
  1        5.2354837852       14.6362050773        7.4983388680
  1       17.5847166392       22.2017870338       26.3631429755
  2       17.2885277593       22.1076291251       26.8169121190
  1       17.0048657932       22.0252694489       27.2808655345
  1       24.9794709498       13.6183176383        5.2636487406
  2       24.8871408341       13.7508755948        4.7379077988
  1       24.7969793404       13.8750548195        4.2097502236
  1       17.2725512052       16.8420143784       26.3428698453
  2       16.8132888167       16.6070413049       26.5335678087
  1       16.3653703478       16.3439499092       26.7142663469
  1        3.9031655065        8.5467874238       -0.1909517734
  2        4.2222260160        8.2430397546        0.1383470950
  1        4.5482842776        7.9455517839        0.4665039421
  1       19.6900790924       17.3285974559        3.6927706094
  2       19.5435638993       17.2770394087        4.2203832192
  1       19.4211374149       17.2367471096        4.7550684401
  1        8.3362209441       14.9729577593        0.9663821988
  2        8.0785805695       15.3911567478        1.2138312710
  1        7.8386296387       15.8114457390        1.4751370568
  1        8.7547605290       27.3660925337       19.1939452082
  2        9.2060043430       27.5511682420       19.4481616564
  1        9.6376666678       27.7348663193       19.7352551128
  1       11.1613690350       24.3058957115        0.0648189537
  2       10.7217184012       24.0485050118        0.2720804984
  1       10.3022645642       23.7841016056        0.5100916672
  1       21.9928075268       13.0566375786        9.6912034002
  2       22.0765911016       12.5917582617        9.4094809599
  1       22.1670595247       12.1267321287        9.1300777406
  1        0.8866513369        9.2192877928       14.8660477635
  2        0.4451167951        8.8969826698       14.8054948438
  1        0.0214986369        8.5529043723       14.7372469119
  1        6.7703483305       10.7338121876       23.3802376179
  2        6.9201332514       11.1972925806       23.6356792018
  1        7.0559920569       11.6666924248       23.8880800144
  1        4.9697337337        8.8285139923       17.7926063986
  2        5.0269430548        9.3002265995       17.5156329165
  1        5.0757713650        9.7623406615       17.2214112504
  1       25.9487394307       19.3415674139        7.0584031117
  2       25.6864510708       19.4895531436        6.5981802961
  1       25.4601768296       19.6473680918        6.1223710813
  1       15.4209945466       13.4566205561       15.0586495585
  2       15.0329515905       13.7835846599       14.8464771308
  1       14.6421573605       14.1049017937       14.6307570152
  1        4.8796534810       18.5850619797        6.4264927352
  2        5.1868947499       18.8840280513        6.0819320138
  1        5.4713327229       19.2090312099        5.7413912887
  1        7.4439247755        0.8854939746       23.2456469542
  2        7.4703470290        0.4987953995       23.6358598147
  1        7.4986445789        0.1282814907       24.0413455618
  1       24.6868119965       21.8045525319        9.9731417308
