Date and Time     Completed      Estimated Time Left
06-01-2025 15:15      1%    1 days and   1 hours
06-01-2025 15:30      2%   23 hours and  56 minutes
06-01-2025 15:44      3%   23 hours and  33 minutes
06-01-2025 15:59      4%   23 hours and  14 minutes
06-01-2025 16:13      5%   22 hours and  56 minutes
06-01-2025 16:27      6%   22 hours and  39 minutes
06-01-2025 16:41      7%   22 hours and  15 minutes
06-01-2025 16:55      8%   21 hours and  54 minutes
06-01-2025 17:09      9%   21 hours and  35 minutes
06-01-2025 17:22     10%   21 hours and  17 minutes
06-01-2025 17:36     11%   20 hours and  59 minutes
06-01-2025 17:50     12%   20 hours and  42 minutes
06-01-2025 18:04     13%   20 hours and  27 minutes
06-01-2025 18:18     14%   20 hours and  11 minutes
06-01-2025 18:32     15%   19 hours and  55 minutes
06-01-2025 18:45     16%   19 hours and  40 minutes
06-01-2025 18:59     17%   19 hours and  26 minutes
06-01-2025 19:13     18%   19 hours and  10 minutes
