Date and Time     Completed      Estimated Time Left
01-01-2025 16:48      1%    2 days and   7 hours
01-01-2025 17:23      2%    2 days and   8 hours
01-01-2025 18:00      3%    2 days and   9 hours
01-01-2025 18:36      4%    2 days and   9 hours
01-01-2025 19:12      5%    2 days and   9 hours
01-01-2025 19:48      6%    2 days and   8 hours
01-01-2025 20:24      7%    2 days and   8 hours
01-01-2025 20:59      8%    2 days and   7 hours
01-01-2025 21:35      9%    2 days and   6 hours
01-01-2025 22:12     10%    2 days and   6 hours
01-01-2025 22:48     11%    2 days and   5 hours
01-01-2025 23:24     12%    2 days and   5 hours
02-01-2025 00:01     13%    2 days and   4 hours
02-01-2025 00:37     14%    2 days and   4 hours
02-01-2025 01:13     15%    2 days and   3 hours
02-01-2025 01:50     16%    2 days and   3 hours
02-01-2025 02:26     17%    2 days and   2 hours
02-01-2025 03:01     18%    2 days and   2 hours
02-01-2025 03:37     19%    2 days and   1 hours
02-01-2025 04:13     20%    1 days and  24 hours
02-01-2025 04:49     21%    1 days and  24 hours
02-01-2025 05:25     22%    1 days and  23 hours
02-01-2025 06:01     23%    1 days and  23 hours
02-01-2025 06:38     24%    1 days and  22 hours
02-01-2025 07:14     25%    1 days and  21 hours
02-01-2025 07:50     26%    1 days and  21 hours
02-01-2025 08:26     27%    1 days and  20 hours
02-01-2025 09:02     28%    1 days and  20 hours
02-01-2025 09:39     29%    1 days and  19 hours
02-01-2025 10:15     30%    1 days and  18 hours
02-01-2025 10:52     31%    1 days and  18 hours
02-01-2025 11:28     32%    1 days and  17 hours
02-01-2025 12:04     33%    1 days and  17 hours
02-01-2025 12:39     34%    1 days and  16 hours
02-01-2025 13:16     35%    1 days and  16 hours
02-01-2025 13:52     36%    1 days and  15 hours
02-01-2025 14:28     37%    1 days and  14 hours
02-01-2025 15:03     38%    1 days and  14 hours
02-01-2025 15:39     39%    1 days and  13 hours
02-01-2025 16:15     40%    1 days and  12 hours
02-01-2025 16:50     41%    1 days and  12 hours
02-01-2025 17:26     42%    1 days and  11 hours
02-01-2025 18:02     43%    1 days and  11 hours
02-01-2025 18:38     44%    1 days and  10 hours
02-01-2025 19:14     45%    1 days and   9 hours
02-01-2025 19:50     46%    1 days and   9 hours
02-01-2025 20:26     47%    1 days and   8 hours
02-01-2025 21:02     48%    1 days and   8 hours
02-01-2025 21:38     49%    1 days and   7 hours
02-01-2025 22:14     50%    1 days and   6 hours
02-01-2025 22:50     51%    1 days and   6 hours
02-01-2025 23:25     52%    1 days and   5 hours
03-01-2025 00:02     53%    1 days and   5 hours
03-01-2025 00:38     54%    1 days and   4 hours
03-01-2025 01:15     55%    1 days and   3 hours
03-01-2025 01:51     56%    1 days and   3 hours
03-01-2025 02:27     57%    1 days and   2 hours
03-01-2025 03:03     58%    1 days and   2 hours
03-01-2025 03:39     59%    1 days and   1 hours
03-01-2025 04:16     60%    1 days and   1 hours
03-01-2025 04:52     61%   23 hours and  24 minutes
03-01-2025 05:28     62%   22 hours and  48 minutes
03-01-2025 06:04     63%   22 hours and  12 minutes
03-01-2025 06:41     64%   21 hours and  36 minutes
03-01-2025 07:17     65%   21 hours and   1 minutes
03-01-2025 07:53     66%   20 hours and  24 minutes
03-01-2025 08:29     67%   19 hours and  48 minutes
03-01-2025 09:05     68%   19 hours and  12 minutes
03-01-2025 09:40     69%   18 hours and  36 minutes
03-01-2025 10:17     70%   18 hours and   0 minutes
03-01-2025 10:53     71%   17 hours and  24 minutes
03-01-2025 11:29     72%   16 hours and  48 minutes
03-01-2025 12:06     73%   16 hours and  12 minutes
03-01-2025 12:42     74%   15 hours and  36 minutes
03-01-2025 13:18     75%   15 hours and   0 minutes
03-01-2025 13:54     76%   14 hours and  24 minutes
03-01-2025 14:30     77%   13 hours and  48 minutes
03-01-2025 15:06     78%   13 hours and  12 minutes
03-01-2025 15:41     79%   12 hours and  36 minutes
03-01-2025 16:17     80%   12 hours and   0 minutes
03-01-2025 16:54     81%   11 hours and  24 minutes
03-01-2025 17:29     82%   10 hours and  48 minutes
03-01-2025 18:05     83%   10 hours and  12 minutes
03-01-2025 18:41     84%    9 hours and  36 minutes
03-01-2025 19:17     85%    9 hours and   0 minutes
03-01-2025 19:53     86%    8 hours and  24 minutes
03-01-2025 20:30     87%    7 hours and  48 minutes
03-01-2025 21:06     88%    7 hours and  12 minutes
03-01-2025 21:42     89%    6 hours and  36 minutes
03-01-2025 22:18     90%    6 hours and   0 minutes
03-01-2025 22:54     91%    5 hours and  24 minutes
03-01-2025 23:30     92%    4 hours and  48 minutes
04-01-2025 00:05     93%    4 hours and  12 minutes
04-01-2025 00:41     94%    3 hours and  36 minutes
04-01-2025 01:18     95%    3 hours and   0 minutes
04-01-2025 01:54     96%    2 hours and  24 minutes
04-01-2025 02:31     97%    1 hours and  48 minutes
04-01-2025 03:07     98%    1 hours and  12 minutes
04-01-2025 03:43     99%   36 minutes and  2 seconds
04-01-2025 04:18    100%    0 minutes and  0 seconds
