Pressure SD-Density_box1 SD_Density_box2
70 0.056314333205743194 0.04906852037962902
80 0.07139359364757743 0.06100557049376004
90 0.15304984127870425 0.15766238201989544
100 0.1752679567569938 0.303878866431617
