# Time-averaged data for fix DensAve
# TimeStep v_Density
20000 0.156587
40000 0.15861
60000 0.157765
80000 0.152565
100000 0.159281
120000 0.159008
140000 0.155078
160000 0.154881
180000 0.160394
200000 0.158784
220000 0.159599
240000 0.156633
260000 0.161917
280000 0.163588
300000 0.159082
320000 0.157092
340000 0.161863
360000 0.160685
380000 0.155598
400000 0.157647
420000 0.158223
440000 0.160646
460000 0.16114
480000 0.160499
500000 0.16421
520000 0.158974
540000 0.155312
560000 0.155108
580000 0.161216
600000 0.158552
620000 0.163837
640000 0.160557
660000 0.166249
680000 0.161229
700000 0.158116
720000 0.160403
740000 0.163229
760000 0.162547
780000 0.164516
800000 0.163602
820000 0.162196
840000 0.163881
860000 0.164729
880000 0.163802
900000 0.168675
920000 0.165083
940000 0.169714
960000 0.165866
980000 0.161778
1000000 0.160751
1020000 0.157935
1040000 0.16678
1060000 0.161406
1080000 0.163812
1100000 0.158942
1120000 0.164182
1140000 0.163145
1160000 0.159192
1180000 0.157169
1200000 0.15934
1220000 0.167284
1240000 0.162855
1260000 0.166998
1280000 0.164141
1300000 0.162128
1320000 0.159101
1340000 0.16284
1360000 0.165073
1380000 0.165344
1400000 0.163018
1420000 0.165104
1440000 0.165113
1460000 0.169098
1480000 0.168435
1500000 0.166521
1520000 0.163592
1540000 0.161625
1560000 0.165543
1580000 0.16241
1600000 0.166483
1620000 0.162815
1640000 0.168488
1660000 0.16411
1680000 0.166934
1700000 0.165744
1720000 0.162924
1740000 0.163187
1760000 0.170247
1780000 0.161496
1800000 0.16764
1820000 0.163562
1840000 0.165003
1860000 0.16528
1880000 0.170501
1900000 0.166701
1920000 0.168717
1940000 0.170939
1960000 0.165565
1980000 0.166617
2000000 0.165783
