Date and Time     Completed      Estimated Time Left
01-01-2025 16:31      1%    1 days and   9 hours
01-01-2025 16:52      2%    1 days and  10 hours
01-01-2025 17:14      3%    1 days and  10 hours
01-01-2025 17:36      4%    1 days and  10 hours
01-01-2025 17:58      5%    1 days and  10 hours
01-01-2025 18:20      6%    1 days and  10 hours
01-01-2025 18:42      7%    1 days and  10 hours
01-01-2025 19:04      8%    1 days and  10 hours
01-01-2025 19:26      9%    1 days and   9 hours
01-01-2025 19:48     10%    1 days and   9 hours
01-01-2025 20:10     11%    1 days and   9 hours
01-01-2025 20:32     12%    1 days and   8 hours
01-01-2025 20:54     13%    1 days and   8 hours
01-01-2025 21:16     14%    1 days and   8 hours
01-01-2025 21:38     15%    1 days and   7 hours
01-01-2025 22:00     16%    1 days and   7 hours
01-01-2025 22:22     17%    1 days and   7 hours
01-01-2025 22:43     18%    1 days and   6 hours
01-01-2025 23:05     19%    1 days and   6 hours
01-01-2025 23:27     20%    1 days and   6 hours
01-01-2025 23:49     21%    1 days and   5 hours
02-01-2025 00:11     22%    1 days and   5 hours
02-01-2025 00:33     23%    1 days and   4 hours
02-01-2025 00:55     24%    1 days and   4 hours
02-01-2025 01:17     25%    1 days and   4 hours
02-01-2025 01:38     26%    1 days and   3 hours
02-01-2025 02:00     27%    1 days and   3 hours
02-01-2025 02:22     28%    1 days and   3 hours
02-01-2025 02:44     29%    1 days and   2 hours
02-01-2025 03:06     30%    1 days and   2 hours
02-01-2025 03:28     31%    1 days and   2 hours
02-01-2025 03:49     32%    1 days and   1 hours
02-01-2025 04:10     33%    1 days and   1 hours
02-01-2025 04:32     34%   23 hours and  57 minutes
02-01-2025 04:53     35%   23 hours and  34 minutes
02-01-2025 05:14     36%   23 hours and  11 minutes
02-01-2025 05:35     37%   22 hours and  49 minutes
02-01-2025 05:56     38%   22 hours and  26 minutes
02-01-2025 06:18     39%   22 hours and   3 minutes
02-01-2025 06:39     40%   21 hours and  41 minutes
02-01-2025 07:00     41%   21 hours and  18 minutes
02-01-2025 07:21     42%   20 hours and  55 minutes
02-01-2025 07:42     43%   20 hours and  33 minutes
02-01-2025 08:03     44%   20 hours and  11 minutes
02-01-2025 08:24     45%   19 hours and  48 minutes
02-01-2025 08:45     46%   19 hours and  26 minutes
02-01-2025 09:06     47%   19 hours and   4 minutes
02-01-2025 09:28     48%   18 hours and  42 minutes
02-01-2025 09:49     49%   18 hours and  20 minutes
02-01-2025 10:10     50%   17 hours and  58 minutes
02-01-2025 10:31     51%   17 hours and  36 minutes
02-01-2025 10:52     52%   17 hours and  14 minutes
02-01-2025 11:13     53%   16 hours and  52 minutes
02-01-2025 11:34     54%   16 hours and  30 minutes
02-01-2025 11:55     55%   16 hours and   8 minutes
02-01-2025 12:16     56%   15 hours and  46 minutes
02-01-2025 12:37     57%   15 hours and  24 minutes
02-01-2025 12:59     58%   15 hours and   3 minutes
02-01-2025 13:20     59%   14 hours and  41 minutes
02-01-2025 13:41     60%   14 hours and  19 minutes
02-01-2025 14:02     61%   13 hours and  58 minutes
02-01-2025 14:24     62%   13 hours and  36 minutes
02-01-2025 14:45     63%   13 hours and  14 minutes
02-01-2025 15:06     64%   12 hours and  53 minutes
02-01-2025 15:27     65%   12 hours and  31 minutes
02-01-2025 15:48     66%   12 hours and   9 minutes
02-01-2025 16:09     67%   11 hours and  48 minutes
02-01-2025 16:30     68%   11 hours and  26 minutes
02-01-2025 16:52     69%   11 hours and   5 minutes
02-01-2025 17:13     70%   10 hours and  43 minutes
02-01-2025 17:34     71%   10 hours and  21 minutes
02-01-2025 17:55     72%   10 hours and   0 minutes
02-01-2025 18:15     73%    9 hours and  38 minutes
02-01-2025 18:36     74%    9 hours and  16 minutes
02-01-2025 18:56     75%    8 hours and  54 minutes
02-01-2025 19:16     76%    8 hours and  33 minutes
02-01-2025 19:37     77%    8 hours and  11 minutes
02-01-2025 19:58     78%    7 hours and  49 minutes
02-01-2025 20:18     79%    7 hours and  28 minutes
02-01-2025 20:39     80%    7 hours and   6 minutes
02-01-2025 21:00     81%    6 hours and  45 minutes
02-01-2025 21:21     82%    6 hours and  23 minutes
02-01-2025 21:41     83%    6 hours and   2 minutes
02-01-2025 22:02     84%    5 hours and  41 minutes
02-01-2025 22:22     85%    5 hours and  19 minutes
02-01-2025 22:43     86%    4 hours and  58 minutes
02-01-2025 23:04     87%    4 hours and  36 minutes
02-01-2025 23:24     88%    4 hours and  15 minutes
02-01-2025 23:44     89%    3 hours and  53 minutes
03-01-2025 00:05     90%    3 hours and  32 minutes
03-01-2025 00:26     91%    3 hours and  11 minutes
03-01-2025 00:46     92%    2 hours and  49 minutes
03-01-2025 01:07     93%    2 hours and  28 minutes
03-01-2025 01:28     94%    2 hours and   7 minutes
03-01-2025 01:48     95%    1 hours and  46 minutes
03-01-2025 02:09     96%    1 hours and  24 minutes
03-01-2025 02:29     97%    1 hours and   3 minutes
03-01-2025 02:49     98%   42 minutes and 24 seconds
03-01-2025 03:10     99%   21 minutes and 11 seconds
03-01-2025 03:31    100%    0 minutes and  0 seconds
