Date and Time     Completed      Estimated Time Left
06-01-2025 15:18      1%    1 days and   5 hours
06-01-2025 15:35      2%    1 days and   5 hours
06-01-2025 15:53      3%    1 days and   4 hours
06-01-2025 16:09      4%    1 days and   4 hours
06-01-2025 16:26      5%    1 days and   4 hours
06-01-2025 16:43      6%    1 days and   3 hours
06-01-2025 17:00      7%    1 days and   3 hours
06-01-2025 17:16      8%    1 days and   2 hours
06-01-2025 17:33      9%    1 days and   2 hours
