Date and Time     Completed      Estimated Time Left
06-01-2025 15:15      1%   23 hours and  50 minutes
06-01-2025 15:29      2%   23 hours and  28 minutes
06-01-2025 15:43      3%   23 hours and   8 minutes
06-01-2025 15:57      4%   22 hours and  46 minutes
06-01-2025 16:12      5%   22 hours and  31 minutes
06-01-2025 16:26      6%   22 hours and  16 minutes
06-01-2025 16:40      7%   22 hours and   3 minutes
06-01-2025 16:54      8%   21 hours and  47 minutes
06-01-2025 17:09      9%   21 hours and  34 minutes
06-01-2025 17:23     10%   21 hours and  18 minutes
