Pressure SD-Density_box1 SD_Density_box2
70 0.06566855700160569 0.032622163014610746
80 0.0728642863253536 0.1720194203532597
90 0.11982319100023905 0.1566715152832307
100 0.3388287654904024 0.38666038728294544
