Simulation state at cycle:    1100000
##############################################################################                                           

Number-of-molecules: 401   

Box-size(s):    28.049592   50.649026

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.6169206517E+000
Box 2    0.2530546800E+002

Rotation per molecule type
Box 1    0.1097495792E+003
Box 2    0.1800000000E+003

Volume    Delta_Volume
Box 1   0.3878180615E+003
Box 2   0.1795453989E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 390   
Atomtype         X                  Y                   Z
  1       14.4308722835       12.5562826294       -0.3527411699
  2       14.7059045896       12.4297866703        0.1064494255
  1       14.9623947278       12.2806254320        0.5695517177
  1        0.4445661962       14.9947479502       10.1247463556
  2        0.6072640291       14.7810364710       10.6047013731
  1        0.7831721764       14.5657038016       11.0792413232
  1       18.7386329248       25.5931714587        9.9006952519
  2       18.4410441058       25.6198414894        9.4389273402
  1       18.1484724705       25.6606086045        8.9749878188
  1       24.0230381274        5.2407026470        6.8970283449
  2       24.3666182564        4.8120550097        6.9237472138
  1       24.7192611324        4.3900304882        6.9299362564
  1        1.8960693440       27.1525000149       10.4768049023
  2        1.9044943077       26.6422429270       10.6819066436
  1        1.9384249777       26.1337428532       10.8887311672
  1        3.2772558565       26.3068566425        2.5819997681
  2        2.9346802636       26.2747421407        2.1529186314
  1        2.6047357195       26.2264160501        1.7155387212
  1       14.4799248386        4.3822149242       15.6670299681
  2       14.7958539248        4.6987900720       15.9871377441
  1       15.1046986162        5.0186258076       16.3108970031
  1       14.6882946760       13.1093271954        6.2356778735
  2       15.1961027857       13.3201825269        6.2226029791
  1       15.7051399785       13.5267525005        6.1959575047
  1       22.2481153549       17.9190822591       15.4750751945
  2       22.4637771032       17.7856958230       15.9631305899
  1       22.6889178622       17.6925345703       16.4562153885
  1       11.6154571123       20.6064057016       14.6778466746
  2       12.0554320120       20.9363793698       14.6841288648
  1       12.4992278444       21.2583576101       14.7274332627
  1        9.8246492548       24.1550595096       22.0442806409
  2       10.2107495630       23.8465501581       22.2856279675
  1       10.6030605763       23.5322079417       22.5087446158
  1       23.7567098784       26.0548091111       15.5653355286
  2       24.0861192953       26.4337322256       15.7898499142
  1       24.4045880383       26.8218269755       16.0144832239
  1       11.8383826611        4.9542268564        8.3454420041
  2       12.1913529735        5.0537031989        7.9355439486
  1       12.5203667760        5.1560191910        7.5068466726
  1        0.6737224650       14.2790886683       25.9184021528
  2        1.2097660755       14.1790875609       25.8465897154
  1        1.7503888062       14.0831771735       25.8145232268
  1        7.3497346472       11.7844777256       21.0640008020
  2        7.3343754722       12.0288320611       21.5564995882
  1        7.3143334845       12.2683469637       22.0512024578
  1       14.9996160848       17.3123589055       24.4901635401
  2       15.3071287323       17.5493000314       24.1005549230
  1       15.6169166040       17.8199881560       23.7355077854
  1       22.9613413129       11.6447355152        6.0320571843
  2       23.4749121057       11.7983158095        6.1551755578
  1       23.9930507901       11.9573756844        6.2486221144
  1       17.9731097824       16.7937715764       16.1310379996
  2       18.1991524524       16.3321860477       15.9352230076
  1       18.4396176341       15.8772893991       15.7409409074
  1        8.3489916778       20.6406187893       16.0420269073
  2        8.1868417342       20.6366196893       15.5164877527
  1        8.0388492029       20.6164824357       14.9871554368
  1       15.9746418915       10.5901586841        9.1459184363
  2       16.2494524486       11.0602845799        9.0687122201
  1       16.5215577015       11.5323101355        8.9935417129
  1       25.6998898335       26.2157372436       21.7863933015
  2       26.0771181778       25.8475644809       21.9433888206
  1       26.4561953798       25.4879191954       22.1150155743
  1       16.4793512534        3.9618918561        5.0033001651
  2       16.0446647274        3.9432624537        4.6668472419
  1       15.6198499538        3.9335847220        4.3176499501
  1       27.4168802115        1.8300804451        9.1457108002
  2       27.6292286510        1.8369044745        8.6384026367
  1       27.8448271280        1.8431672777        8.1324598800
  1        7.9573739393       24.8312062762        4.2444282849
  2        8.0468209558       24.8435724452        3.7018913653
  1        8.1181103874       24.8444129400        3.1565317505
  1        7.2210590766        7.2836759841       17.4561906265
  2        7.4116427284        7.7554465057       17.2473594827
  1        7.6164053215        8.2189756279       17.0335534204
  1       19.0319618014       22.1949387013        6.4670965657
  2       18.9587329040       21.8743953985        6.0262002971
  1       18.8650652992       21.5469959588        5.5943021775
  1       27.7752706141       22.6146282168       10.7263107664
  2       27.7903176881       23.1485675084       10.5952290421
  1       27.7924185558       23.6751996006       10.4366282072
  1       15.7164532482        1.6191887987       25.0077154607
  2       15.7520454462        1.7568020051       25.5390306223
  1       15.7802975583        1.8849188151       26.0731541100
  1       11.0999662977       18.6566607275       17.6499208867
  2       11.2653285062       18.3045070997       18.0386922365
  1       11.4201517873       17.9344652227       18.4149883432
  1        7.0503621664       16.4240544674       16.9338685630
  2        7.1955703402       16.9330012875       16.7842432958
  1        7.3313642817       17.4403445478       16.6209557558
  1        3.1456560433        8.3466246395       26.5447997619
  2        3.2143660770        8.5380292620       26.0337780386
  1        3.2792936426        8.7021196473       25.5128569738
  1        6.6475479913       14.9930383700        4.7456659989
  2        6.1321157797       15.0211572062        4.9355053159
  1        5.6117482020       15.0276668433        5.1134806167
  1       22.0913814289       10.7517494439       27.1927622559
  2       22.5914173824       10.6956669303       27.4148406134
  1       23.0900607348       10.6368136160       27.6393202195
  1        1.7830595070       20.1097138034       24.8176047480
  2        1.5756982242       20.4644088485       24.4519645924
  1        1.3550961728       20.7968963615       24.0734321795
  1       17.5627304528        9.4653862762        1.1458024487
  2       17.9739988681        9.7398213823        0.9048799235
  1       18.3965031558       10.0065882633        0.6750418130
  1       18.8775387174        7.7463646373        5.1843334959
  2       19.0353172873        7.6191230575        5.6956215783
  1       19.1918858813        7.4543522931        6.1964577487
  1        4.9224860965       25.7048966842        6.9154524508
  2        4.7865914002       26.0696701252        6.5269000499
  1        4.6399679736       26.4521385821        6.1598585683
  1        6.9333743829        0.8236935459        9.0728457224
  2        6.5245723276        0.6808877944        8.7337478060
  1        6.1186218367        0.5330819184        8.3933691625
  1        8.2339251422       17.4525983669        2.9742510857
  2        8.3306151953       17.8865439319        3.2980446623
  1        8.4434235756       18.3296654631        3.6036875534
  1        6.5711987239       -0.2767128201        3.0017770820
  2        6.5205738173        0.1865640852        3.2938586250
  1        6.4502946082        0.6613109466        3.5625150029
  1       11.1565094157        9.5300180639       14.6276248386
  2       10.7088090636        9.2315015639       14.5138166927
  1       10.2581149649        8.9413629330       14.3905511126
  1       10.4495416626       15.2608225825        1.8178478659
  2       10.9704003673       15.2862735567        1.6430380902
  1       11.4931629347       15.3374644373        1.4799467330
  1       12.7682013605       25.5695674797       15.7359967609
  2       12.9215014577       25.2960668180       15.2841157276
  1       13.0588543943       25.0148950550       14.8318142689
  1       17.5130879079       22.7394171894       27.0567021639
  2       17.2524843588       23.1718635204       27.2748213078
  1       17.0018792210       23.6072789219       27.4986750370
  1        1.8426061789       16.5417825929       13.9123237638
  2        1.7240578490       17.0784193801       13.8907077487
  1        1.6566982982       17.6219858277       13.8407256825
  1        7.0399401307       12.0952573827        2.1317558608
  2        7.4696199056       11.8740830306        2.3943528847
  1        7.8825906679       11.6475741144        2.6783403129
  1       26.2582124663        6.9122961936       27.3137161614
  2       26.1391764017        6.5655154178       27.7236838539
  1       26.0210410515        6.2153086544       28.1309911836
  1       15.5767003268        9.3418020621       25.6867826653
  2       15.6351698070        8.7949843890       25.6783119938
  1       15.7249453808        8.2523617372       25.6773104539
  1       24.2531493416       13.5153684504       19.4925304084
  2       24.3194693196       13.3965737457       20.0254370406
  1       24.3674986832       13.2972780487       20.5642631199
  1       16.9419766610        3.7204884206       22.2673711904
  2       16.8780039947        3.2092567746       22.0748881987
  1       16.8337901956        2.6940092771       21.8876312756
  1       26.0011625041       12.7929771738        9.3494089585
  2       26.3970930523       12.7472610703        8.9703983533
  1       26.7873836568       12.6888163633        8.5873089913
  1        8.0424457578       23.0779018326       25.1433294488
  2        7.9669285954       23.3976853222       25.5843914375
  1        7.8820014096       23.7172245498       26.0239162425
  1        5.4421979714        4.3640283113        1.4420270257
  2        5.2541930989        3.9084110809        1.6860907617
  1        5.0593468730        3.4425635928        1.9040840301
  1        5.0175331485       12.8760079088        7.8035381838
  2        4.8181464472       13.2371583962        8.1672898419
  1        4.6122426619       13.5972691800        8.5284322703
  1        1.7444024211       27.8462064419       21.8791879180
  2        2.2927308527       27.8707073063       21.8440362651
  1        2.8421509567       27.8950207569       21.8508483428
  1        5.9156702177       10.3067279418       14.2326810150
  2        6.4477716211       10.1724879780       14.1959695927
  1        6.9808978424       10.0426928195       14.1581589063
  1        6.3381742336        4.5833099854       25.4608298070
