Simulation state at cycle:     790000
##############################################################################                                           

Number-of-molecules: 401   

Box-size(s):    28.172503   50.611136

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.5809872717E+000
Box 2    0.2531141453E+002

Rotation per molecule type
Box 1    0.9725452334E+002
Box 2    0.1800000000E+003

Volume    Delta_Volume
Box 1   0.3835735908E+003
Box 2   0.1775803661E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 392   
Atomtype         X                  Y                   Z
  1       24.6178865412       15.1049323676       10.1654406027
  1       12.8055100675       14.0145547837        9.7266080845
  2       12.5445565716       13.5805687945        9.5119934667
  1       12.2779500180       13.1487740721        9.2999221054
  1       15.2444366164       18.0513832577       25.3140262521
  2       15.1797434515       17.5146567819       25.4152165901
  1       15.1138311716       16.9741764384       25.4929119483
  1        4.2885340800       18.4487109780       15.9786047563
  2        3.9288869234       18.3846064560       16.3897550123
  1        3.5708732071       18.3286661896       16.8035144406
  1        8.0806004168       21.8224282262        5.0501945228
  2        7.5378053602       21.7601157943        4.9870226348
  1        6.9941443361       21.6885440242        4.9444765240
  1       20.2541024505        3.7170713720       18.5700738771
  2       20.1949702094        3.8815636742       18.0485897828
  1       20.1589179139        4.0440500532       17.5243776048
  1        3.8735911737        4.0933479584       22.4628283249
  2        3.3591312672        4.2556809709       22.5699684092
  1        2.8412367647        4.4169319366       22.6609816459
  1       10.2533217167        8.9785993492        1.0014096888
  2       10.1921049501        8.7629505386        1.5036527554
  1       10.1680896695        8.5071619651        1.9899607555
  1        7.9252463451       11.6956437750       16.5352867881
  2        8.1318834767       11.7318276654       16.0268658779
  1        8.3369351236       11.7958681990       15.5205530980
  1       26.0364677980        8.4903947633       14.9739786055
  2       25.5232674563        8.5064051587       14.7768261861
  1       25.0191582923        8.5272177155       14.5578723388
  1       22.7298715575       26.1890950553       25.7994310157
  2       22.5349241749       26.1535826379       26.3124947410
  1       22.3550861701       26.1088816502       26.8303365245
  1        9.7649837112        0.9852593016       10.1539530917
  2        9.2227166916        1.0430448505       10.0824876470
  1        8.6801056393        1.0969230295       10.0105822459
  1        0.9259726256       22.0118355114       25.1506207812
  2        0.5427962762       21.7509225292       25.4465942613
  1        0.1710620370       21.4913077000       25.7579040667
  1       22.7748229211       12.4601651865        9.8634963069
  2       22.2418125124       12.3293204506        9.8277253791
  1       21.7089641249       12.1956857462        9.8009978524
  1        8.7598864706       21.8664216979       20.3615244453
  2        8.3947576466       21.8925330846       19.9510379810
  1        8.0358001454       21.9148124585       19.5349212417
  1        0.2931216227       16.1538501710       22.6114886747
  2        0.3268208092       16.2120367298       23.1573629177
  1        0.3752936820       16.2396608987       23.7045258595
  1       25.6874671359       15.9130433905       24.7678972319
  2       25.4800382900       15.9649904292       25.2746267249
  1       25.2807612453       16.0186784109       25.7844367473
  1        1.2551580022        2.8429669656       10.7242043900
  2        1.4068024949        3.3432643728       10.8951033430
  1        1.5446170390        3.8494530308       11.0602705095
  1       20.1897911138        1.7381251538       27.6465642511
  2       20.4352938957        1.3353095078       27.3637782199
  1       20.7011671298        0.9349266916       27.0963739888
  1       11.2347164309       22.1523187536        2.1409453385
  2       11.1244029212       21.7201395286        2.4627403774
  1       10.9957700836       21.2973584240        2.7901693463
  1       27.0910985678        9.8585678044        0.1120189429
  2       27.1563477280       10.2824208322        0.4563896123
  1       27.2114713968       10.7179899330        0.7876613113
  1        6.5961960426       24.0451834880        8.3541596113
  2        7.0572443563       23.8332990011        8.5663845313
  1        7.5148600561       23.6236919829        8.7880887671
  1        2.8772130892       11.2018433324        1.2553620047
  2        2.9101893493       11.0772833657        1.7900557310
  1        2.9240728084       10.9456335860        2.3238867755
  1       14.7034883367        4.8375854868       18.8253351748
  2       14.3007384198        4.6112112592       18.5269273775
  1       13.9008383052        4.3938879296       18.2181386670
  1       10.9152016400       22.7641451536       25.6992006541
  2       10.7817934325       22.6158221135       26.2117457994
  1       10.6556435241       22.4603247168       26.7240023359
  1        5.9176248371        7.5851809861        4.7601502584
  2        5.8211540992        8.0544644704        4.4900273085
  1        5.7125404250        8.5153214990        4.2101811580
  1       11.8484619597       25.8333677850       21.8101018138
  2       11.6673295557       25.4525613464       21.4570047895
  1       11.4953256880       25.0859287724       21.0848553247
  1        6.8882024727       26.4242403386        0.6345885721
  2        6.7379910860       26.8541163513        0.9430414096
  1        6.5985760152       27.2789510722        1.2633208141
  1        9.1538542908        1.0230385230       27.2541302514
  2        9.1128497899        1.0465494227       26.7061650440
  1        9.0502701316        1.0557585124       26.1598144441
  1        1.6842608623       27.6032331161       20.6370386818
  2        1.5309607975       27.2637641019       20.2323661246
  1        1.3712451377       26.9035715997       19.8486314919
  1       13.7238062412       17.6975928008       10.9653162723
  2       13.2713951348       17.9428174669       10.7711795836
  1       12.8035867103       18.1638832375       10.5846716695
  1       14.4766056189        9.8849001405        8.3148469273
  2       14.3331277585        9.3978446093        8.1034444366
  1       14.1963983296        8.8962485999        7.9239827258
  1       25.7286472904       26.9688512871       25.7009173477
  2       26.1774461252       27.1697718234       25.4545222505
  1       26.6386526477       27.3600105477       25.2230103278
  1       18.9515337374       25.6139011782       26.1942084622
  2       18.4896925244       25.9062721260       26.1332008986
  1       18.0420964339       26.2199526895       26.0718637738
  1        0.8842068740        1.1379175350       23.6759277477
  2        1.4300522564        1.0722773914       23.6915543301
  1        1.9750764280        1.0005122839       23.7088291867
  1       12.0651721815       12.4806563187       16.4496775099
  2       11.7250996057       12.4800722126       16.8819393542
  1       11.3886421715       12.4903947020       17.3168989387
  1       22.6903427383       19.6028683997       17.7137305651
  2       23.0267519220       19.2946825322       17.4065655733
  1       23.3495911675       18.9716083477       17.1001379442
  1        1.2768151993        6.4993823885       20.4069808218
  2        1.5712155820        6.2448884949       20.0183148048
  1        1.8358734837        5.9783746564       19.6165355520
  1       22.6825925199        0.3728104575       22.6708442694
  2       22.8272339337        0.8252240047       22.9481542830
  1       22.9812517713        1.2715922360       23.2301718477
  1       12.1849027892        5.1195365478       21.4386659927
  2       11.8676174576        4.7431416196       21.1933970049
  1       11.5210595190        4.3825143241       20.9646055105
  1       16.2130661442       22.1580616920       15.3226208282
  2       16.7285250251       22.3480110749       15.2957624210
  1       17.2431653543       22.5420303902       15.2944074933
  1       24.1046147602       12.4920419097       12.7526373715
  2       24.3641337691       12.0490538782       12.5553774213
  1       24.6315573708       11.6093761874       12.3612945925
  1       21.8314041975       14.7758858466       18.8515443856
  2       21.9308552593       15.3118676214       18.7785168336
  1       22.0118032541       15.8493590314       18.6945501419
  1       23.9802399476        5.5561733279       22.4393169130
  2       23.6171678541        5.5986304862       22.0283716068
  1       23.2699700426        5.6287884397       21.6028787438
  1       17.7190324254       26.4496770915       19.7485940210
  2       17.3628379359       26.4802422258       20.1665548543
  1       17.0036768730       26.5100843042       20.5820217968
  1       23.8224400627        2.7494068737       14.6117564478
  2       23.3435606536        2.5402123725       14.7832562213
  1       22.8662843109        2.3105891925       14.9315143977
  1        5.2225098329       16.2531019238       25.8188206090
  2        5.3594337274       16.6237364694       25.4362217581
  1        5.4733706685       16.9990915790       25.0507001450
  1        7.0026697862       20.2482798845       14.0990251569
  2        6.5036217537       20.4539977347       13.9935205250
  1        6.0099471021       20.6675096051       13.8786378953
  1       26.2482591825        5.5138356789       -0.4665734266
  2       26.4206863302        5.3547996813        0.0308966028
  1       26.5687626168        5.1980029830        0.5368493751
  1       13.7232728854       13.6557764720       23.9196209264
  2       13.7546706738       13.6954692409       23.3719543646
  1       13.7770238227       13.7452984763       22.8246725514
  1       16.6310332061        4.5451930857       25.2784240888
  2       16.1910164911        4.6858188659       25.5769365350
  1       15.7621550744        4.8532011488       25.8778701749
  1        7.9843798649        5.8592287165        2.7402728515
