Date and Time     Completed      Estimated Time Left
06-01-2025 15:21      1%    1 days and  10 hours
06-01-2025 15:42      2%    1 days and  10 hours
06-01-2025 16:02      3%    1 days and  10 hours
06-01-2025 16:23      4%    1 days and  10 hours
06-01-2025 16:45      5%    1 days and  10 hours
06-01-2025 17:07      6%    1 days and   9 hours
06-01-2025 17:27      7%    1 days and   9 hours
06-01-2025 17:48      8%    1 days and   9 hours
06-01-2025 18:09      9%    1 days and   8 hours
06-01-2025 18:31     10%    1 days and   8 hours
06-01-2025 18:52     11%    1 days and   8 hours
06-01-2025 19:13     12%    1 days and   7 hours
06-01-2025 19:34     13%    1 days and   7 hours
06-01-2025 19:55     14%    1 days and   7 hours
06-01-2025 20:16     15%    1 days and   6 hours
06-01-2025 20:37     16%    1 days and   6 hours
06-01-2025 20:59     17%    1 days and   6 hours
06-01-2025 21:20     18%    1 days and   5 hours
06-01-2025 21:41     19%    1 days and   5 hours
06-01-2025 22:02     20%    1 days and   5 hours
06-01-2025 22:23     21%    1 days and   4 hours
06-01-2025 22:44     22%    1 days and   4 hours
06-01-2025 23:05     23%    1 days and   4 hours
06-01-2025 23:27     24%    1 days and   3 hours
06-01-2025 23:48     25%    1 days and   3 hours
07-01-2025 00:10     26%    1 days and   3 hours
07-01-2025 00:32     27%    1 days and   2 hours
07-01-2025 00:53     28%    1 days and   2 hours
07-01-2025 01:15     29%    1 days and   2 hours
07-01-2025 01:36     30%    1 days and   1 hours
07-01-2025 01:57     31%    1 days and   1 hours
07-01-2025 02:18     32%   23 hours and  59 minutes
07-01-2025 02:39     33%   23 hours and  38 minutes
07-01-2025 03:01     34%   23 hours and  17 minutes
07-01-2025 03:22     35%   22 hours and  56 minutes
07-01-2025 03:44     36%   22 hours and  36 minutes
07-01-2025 04:05     37%   22 hours and  15 minutes
07-01-2025 04:26     38%   21 hours and  53 minutes
07-01-2025 04:47     39%   21 hours and  32 minutes
07-01-2025 05:08     40%   21 hours and  11 minutes
07-01-2025 05:30     41%   20 hours and  50 minutes
07-01-2025 05:51     42%   20 hours and  29 minutes
07-01-2025 06:12     43%   20 hours and   7 minutes
07-01-2025 06:33     44%   19 hours and  46 minutes
07-01-2025 06:54     45%   19 hours and  24 minutes
07-01-2025 07:15     46%   19 hours and   3 minutes
07-01-2025 07:37     47%   18 hours and  43 minutes
07-01-2025 07:58     48%   18 hours and  22 minutes
07-01-2025 08:19     49%   18 hours and   1 minutes
07-01-2025 08:40     50%   17 hours and  39 minutes
07-01-2025 09:02     51%   17 hours and  18 minutes
07-01-2025 09:23     52%   16 hours and  57 minutes
07-01-2025 09:44     53%   16 hours and  36 minutes
07-01-2025 10:05     54%   16 hours and  14 minutes
07-01-2025 10:27     55%   15 hours and  54 minutes
07-01-2025 10:48     56%   15 hours and  32 minutes
07-01-2025 11:09     57%   15 hours and  11 minutes
07-01-2025 11:30     58%   14 hours and  50 minutes
07-01-2025 11:52     59%   14 hours and  29 minutes
07-01-2025 12:13     60%   14 hours and   7 minutes
07-01-2025 12:34     61%   13 hours and  47 minutes
07-01-2025 12:56     62%   13 hours and  25 minutes
07-01-2025 13:16     63%   13 hours and   4 minutes
07-01-2025 13:38     64%   12 hours and  43 minutes
07-01-2025 13:58     65%   12 hours and  21 minutes
07-01-2025 14:19     66%   12 hours and   0 minutes
07-01-2025 14:41     67%   11 hours and  39 minutes
07-01-2025 15:02     68%   11 hours and  18 minutes
07-01-2025 15:24     69%   10 hours and  57 minutes
07-01-2025 15:45     70%   10 hours and  36 minutes
07-01-2025 16:06     71%   10 hours and  14 minutes
07-01-2025 16:27     72%    9 hours and  53 minutes
07-01-2025 16:49     73%    9 hours and  32 minutes
07-01-2025 17:10     74%    9 hours and  11 minutes
07-01-2025 17:32     75%    8 hours and  50 minutes
07-01-2025 17:53     76%    8 hours and  29 minutes
07-01-2025 18:14     77%    8 hours and   7 minutes
07-01-2025 18:35     78%    7 hours and  46 minutes
07-01-2025 18:56     79%    7 hours and  25 minutes
07-01-2025 19:18     80%    7 hours and   4 minutes
07-01-2025 19:40     81%    6 hours and  43 minutes
07-01-2025 20:01     82%    6 hours and  21 minutes
07-01-2025 20:22     83%    6 hours and   0 minutes
07-01-2025 20:43     84%    5 hours and  39 minutes
07-01-2025 21:04     85%    5 hours and  18 minutes
07-01-2025 21:25     86%    4 hours and  56 minutes
07-01-2025 21:46     87%    4 hours and  35 minutes
07-01-2025 22:08     88%    4 hours and  14 minutes
07-01-2025 22:30     89%    3 hours and  53 minutes
07-01-2025 22:51     90%    3 hours and  32 minutes
07-01-2025 23:12     91%    3 hours and  11 minutes
07-01-2025 23:33     92%    2 hours and  49 minutes
07-01-2025 23:55     93%    2 hours and  28 minutes
08-01-2025 00:16     94%    2 hours and   7 minutes
08-01-2025 00:38     95%    1 hours and  46 minutes
08-01-2025 00:59     96%    1 hours and  24 minutes
08-01-2025 01:21     97%    1 hours and   3 minutes
08-01-2025 01:42     98%   42 minutes and 28 seconds
08-01-2025 02:04     99%   21 minutes and 14 seconds
08-01-2025 02:25    100%    0 minutes and  0 seconds
