Date and Time     Completed      Estimated Time Left
06-01-2025 15:18      1%    1 days and   6 hours
06-01-2025 15:37      2%    1 days and   6 hours
06-01-2025 15:55      3%    1 days and   6 hours
06-01-2025 16:13      4%    1 days and   6 hours
06-01-2025 16:32      5%    1 days and   5 hours
06-01-2025 16:50      6%    1 days and   5 hours
06-01-2025 17:08      7%    1 days and   5 hours
06-01-2025 17:27      8%    1 days and   4 hours
06-01-2025 17:45      9%    1 days and   4 hours
06-01-2025 18:03     10%    1 days and   4 hours
06-01-2025 18:21     11%    1 days and   4 hours
06-01-2025 18:39     12%    1 days and   3 hours
06-01-2025 18:58     13%    1 days and   3 hours
06-01-2025 19:16     14%    1 days and   3 hours
06-01-2025 19:34     15%    1 days and   2 hours
06-01-2025 19:52     16%    1 days and   2 hours
06-01-2025 20:11     17%    1 days and   2 hours
06-01-2025 20:29     18%    1 days and   1 hours
06-01-2025 20:47     19%    1 days and   1 hours
06-01-2025 21:06     20%    1 days and   1 hours
06-01-2025 21:24     21%    1 days and   1 hours
06-01-2025 21:42     22%   23 hours and  44 minutes
06-01-2025 22:01     23%   23 hours and  26 minutes
06-01-2025 22:19     24%   23 hours and   9 minutes
06-01-2025 22:38     25%   22 hours and  52 minutes
06-01-2025 22:57     26%   22 hours and  35 minutes
06-01-2025 23:15     27%   22 hours and  15 minutes
06-01-2025 23:33     28%   21 hours and  58 minutes
06-01-2025 23:51     29%   21 hours and  39 minutes
07-01-2025 00:10     30%   21 hours and  21 minutes
07-01-2025 00:28     31%   21 hours and   3 minutes
07-01-2025 00:47     32%   20 hours and  46 minutes
07-01-2025 01:05     33%   20 hours and  27 minutes
07-01-2025 01:24     34%   20 hours and  10 minutes
07-01-2025 01:42     35%   19 hours and  52 minutes
07-01-2025 02:01     36%   19 hours and  33 minutes
07-01-2025 02:19     37%   19 hours and  15 minutes
07-01-2025 02:38     38%   18 hours and  57 minutes
07-01-2025 02:56     39%   18 hours and  39 minutes
07-01-2025 03:14     40%   18 hours and  20 minutes
07-01-2025 03:32     41%   18 hours and   1 minutes
07-01-2025 03:51     42%   17 hours and  44 minutes
07-01-2025 04:09     43%   17 hours and  25 minutes
07-01-2025 04:27     44%   17 hours and   6 minutes
07-01-2025 04:45     45%   16 hours and  47 minutes
07-01-2025 05:03     46%   16 hours and  29 minutes
07-01-2025 05:22     47%   16 hours and  10 minutes
07-01-2025 05:40     48%   15 hours and  52 minutes
07-01-2025 05:58     49%   15 hours and  34 minutes
07-01-2025 06:16     50%   15 hours and  15 minutes
07-01-2025 06:34     51%   14 hours and  56 minutes
07-01-2025 06:52     52%   14 hours and  38 minutes
07-01-2025 07:10     53%   14 hours and  19 minutes
07-01-2025 07:28     54%   14 hours and   1 minutes
07-01-2025 07:47     55%   13 hours and  43 minutes
07-01-2025 08:05     56%   13 hours and  25 minutes
07-01-2025 08:23     57%   13 hours and   6 minutes
07-01-2025 08:41     58%   12 hours and  48 minutes
07-01-2025 09:00     59%   12 hours and  29 minutes
07-01-2025 09:17     60%   12 hours and  11 minutes
07-01-2025 09:35     61%   11 hours and  52 minutes
07-01-2025 09:53     62%   11 hours and  34 minutes
07-01-2025 10:12     63%   11 hours and  16 minutes
07-01-2025 10:30     64%   10 hours and  57 minutes
07-01-2025 10:48     65%   10 hours and  39 minutes
07-01-2025 11:07     66%   10 hours and  21 minutes
07-01-2025 11:25     67%   10 hours and   3 minutes
07-01-2025 11:43     68%    9 hours and  44 minutes
07-01-2025 12:01     69%    9 hours and  26 minutes
07-01-2025 12:19     70%    9 hours and   7 minutes
07-01-2025 12:36     71%    8 hours and  49 minutes
07-01-2025 12:54     72%    8 hours and  30 minutes
07-01-2025 13:11     73%    8 hours and  12 minutes
07-01-2025 13:29     74%    7 hours and  53 minutes
07-01-2025 13:47     75%    7 hours and  35 minutes
07-01-2025 14:05     76%    7 hours and  17 minutes
07-01-2025 14:23     77%    6 hours and  58 minutes
07-01-2025 14:40     78%    6 hours and  40 minutes
07-01-2025 14:58     79%    6 hours and  22 minutes
07-01-2025 15:16     80%    6 hours and   3 minutes
07-01-2025 15:33     81%    5 hours and  45 minutes
07-01-2025 15:51     82%    5 hours and  27 minutes
07-01-2025 16:09     83%    5 hours and   8 minutes
07-01-2025 16:26     84%    4 hours and  50 minutes
07-01-2025 16:44     85%    4 hours and  32 minutes
07-01-2025 17:01     86%    4 hours and  14 minutes
07-01-2025 17:19     87%    3 hours and  55 minutes
07-01-2025 17:36     88%    3 hours and  37 minutes
07-01-2025 17:53     89%    3 hours and  19 minutes
07-01-2025 18:10     90%    3 hours and   1 minutes
07-01-2025 18:27     91%    2 hours and  42 minutes
07-01-2025 18:45     92%    2 hours and  24 minutes
07-01-2025 19:02     93%    2 hours and   6 minutes
07-01-2025 19:20     94%    1 hours and  48 minutes
07-01-2025 19:37     95%    1 hours and  30 minutes
07-01-2025 19:54     96%    1 hours and  12 minutes
07-01-2025 20:12     97%   54 minutes and  9 seconds
07-01-2025 20:29     98%   36 minutes and  5 seconds
07-01-2025 20:47     99%   18 minutes and  2 seconds
07-01-2025 21:04    100%    0 minutes and  0 seconds
