Date and Time     Completed      Estimated Time Left
06-01-2025 15:23      1%    1 days and  13 hours
06-01-2025 15:47      2%    1 days and  14 hours
06-01-2025 16:12      3%    1 days and  15 hours
06-01-2025 16:36      4%    1 days and  15 hours
06-01-2025 17:00      5%    1 days and  14 hours
06-01-2025 17:25      6%    1 days and  14 hours
06-01-2025 17:49      7%    1 days and  14 hours
06-01-2025 18:14      8%    1 days and  13 hours
06-01-2025 18:38      9%    1 days and  13 hours
06-01-2025 19:03     10%    1 days and  13 hours
06-01-2025 19:27     11%    1 days and  12 hours
06-01-2025 19:51     12%    1 days and  12 hours
06-01-2025 20:16     13%    1 days and  12 hours
06-01-2025 20:40     14%    1 days and  11 hours
06-01-2025 21:05     15%    1 days and  11 hours
06-01-2025 21:29     16%    1 days and  10 hours
06-01-2025 21:53     17%    1 days and  10 hours
06-01-2025 22:18     18%    1 days and  10 hours
06-01-2025 22:43     19%    1 days and   9 hours
06-01-2025 23:07     20%    1 days and   9 hours
06-01-2025 23:31     21%    1 days and   9 hours
06-01-2025 23:56     22%    1 days and   8 hours
07-01-2025 00:20     23%    1 days and   8 hours
07-01-2025 00:45     24%    1 days and   7 hours
07-01-2025 01:10     25%    1 days and   7 hours
07-01-2025 01:34     26%    1 days and   7 hours
07-01-2025 01:59     27%    1 days and   6 hours
07-01-2025 02:24     28%    1 days and   6 hours
07-01-2025 02:48     29%    1 days and   5 hours
07-01-2025 03:13     30%    1 days and   5 hours
07-01-2025 03:37     31%    1 days and   5 hours
07-01-2025 04:02     32%    1 days and   4 hours
07-01-2025 04:27     33%    1 days and   4 hours
07-01-2025 04:51     34%    1 days and   3 hours
07-01-2025 05:16     35%    1 days and   3 hours
07-01-2025 05:40     36%    1 days and   3 hours
07-01-2025 06:05     37%    1 days and   2 hours
07-01-2025 06:29     38%    1 days and   2 hours
07-01-2025 06:54     39%    1 days and   1 hours
07-01-2025 07:19     40%    1 days and   1 hours
07-01-2025 07:43     41%    1 days and   1 hours
07-01-2025 08:08     42%   23 hours and  38 minutes
07-01-2025 08:32     43%   23 hours and  13 minutes
07-01-2025 08:56     44%   22 hours and  49 minutes
07-01-2025 09:20     45%   22 hours and  24 minutes
07-01-2025 09:45     46%   21 hours and  59 minutes
07-01-2025 10:10     47%   21 hours and  35 minutes
07-01-2025 10:34     48%   21 hours and  11 minutes
07-01-2025 10:59     49%   20 hours and  46 minutes
07-01-2025 11:23     50%   20 hours and  22 minutes
07-01-2025 11:47     51%   19 hours and  57 minutes
07-01-2025 12:12     52%   19 hours and  33 minutes
07-01-2025 12:36     53%   19 hours and   8 minutes
07-01-2025 13:00     54%   18 hours and  44 minutes
07-01-2025 13:24     55%   18 hours and  19 minutes
07-01-2025 13:48     56%   17 hours and  54 minutes
07-01-2025 14:13     57%   17 hours and  30 minutes
07-01-2025 14:38     58%   17 hours and   6 minutes
07-01-2025 15:02     59%   16 hours and  41 minutes
07-01-2025 15:26     60%   16 hours and  17 minutes
07-01-2025 15:51     61%   15 hours and  52 minutes
07-01-2025 16:15     62%   15 hours and  28 minutes
07-01-2025 16:40     63%   15 hours and   3 minutes
07-01-2025 17:04     64%   14 hours and  39 minutes
07-01-2025 17:29     65%   14 hours and  15 minutes
07-01-2025 17:54     66%   13 hours and  51 minutes
07-01-2025 18:19     67%   13 hours and  26 minutes
07-01-2025 18:44     68%   13 hours and   2 minutes
07-01-2025 19:08     69%   12 hours and  38 minutes
07-01-2025 19:33     70%   12 hours and  13 minutes
07-01-2025 19:57     71%   11 hours and  49 minutes
07-01-2025 20:22     72%   11 hours and  24 minutes
07-01-2025 20:46     73%   11 hours and   0 minutes
07-01-2025 21:11     74%   10 hours and  35 minutes
07-01-2025 21:35     75%   10 hours and  11 minutes
07-01-2025 21:59     76%    9 hours and  46 minutes
07-01-2025 22:24     77%    9 hours and  22 minutes
07-01-2025 22:49     78%    8 hours and  58 minutes
07-01-2025 23:13     79%    8 hours and  33 minutes
07-01-2025 23:37     80%    8 hours and   9 minutes
08-01-2025 00:02     81%    7 hours and  44 minutes
08-01-2025 00:27     82%    7 hours and  20 minutes
08-01-2025 00:52     83%    6 hours and  55 minutes
08-01-2025 01:16     84%    6 hours and  31 minutes
08-01-2025 01:41     85%    6 hours and   7 minutes
08-01-2025 02:05     86%    5 hours and  42 minutes
08-01-2025 02:30     87%    5 hours and  18 minutes
08-01-2025 02:54     88%    4 hours and  53 minutes
08-01-2025 03:19     89%    4 hours and  29 minutes
08-01-2025 03:43     90%    4 hours and   4 minutes
08-01-2025 04:08     91%    3 hours and  40 minutes
08-01-2025 04:32     92%    3 hours and  15 minutes
08-01-2025 04:56     93%    2 hours and  51 minutes
08-01-2025 05:20     94%    2 hours and  26 minutes
08-01-2025 05:45     95%    2 hours and   2 minutes
08-01-2025 06:09     96%    1 hours and  37 minutes
08-01-2025 06:34     97%    1 hours and  13 minutes
08-01-2025 06:59     98%   48 minutes and 56 seconds
08-01-2025 07:23     99%   24 minutes and 28 seconds
08-01-2025 07:48    100%    0 minutes and  0 seconds
