Date and Time     Completed      Estimated Time Left
06-01-2025 15:18      1%    1 days and   6 hours
06-01-2025 15:36      2%    1 days and   6 hours
06-01-2025 15:55      3%    1 days and   6 hours
06-01-2025 16:12      4%    1 days and   5 hours
06-01-2025 16:30      5%    1 days and   5 hours
06-01-2025 16:47      6%    1 days and   4 hours
06-01-2025 17:04      7%    1 days and   4 hours
06-01-2025 17:21      8%    1 days and   4 hours
06-01-2025 17:39      9%    1 days and   3 hours
06-01-2025 17:56     10%    1 days and   3 hours
06-01-2025 18:13     11%    1 days and   2 hours
06-01-2025 18:30     12%    1 days and   2 hours
06-01-2025 18:47     13%    1 days and   2 hours
06-01-2025 19:04     14%    1 days and   1 hours
06-01-2025 19:21     15%    1 days and   1 hours
06-01-2025 19:38     16%    1 days and   1 hours
06-01-2025 19:55     17%   23 hours and  59 minutes
06-01-2025 20:13     18%   23 hours and  42 minutes
06-01-2025 20:30     19%   23 hours and  25 minutes
06-01-2025 20:48     20%   23 hours and   8 minutes
06-01-2025 21:05     21%   22 hours and  51 minutes
06-01-2025 21:22     22%   22 hours and  33 minutes
06-01-2025 21:39     23%   22 hours and  15 minutes
06-01-2025 21:57     24%   21 hours and  58 minutes
06-01-2025 22:15     25%   21 hours and  42 minutes
06-01-2025 22:31     26%   21 hours and  23 minutes
06-01-2025 22:48     27%   21 hours and   3 minutes
06-01-2025 23:04     28%   20 hours and  43 minutes
06-01-2025 23:21     29%   20 hours and  24 minutes
06-01-2025 23:38     30%   20 hours and   7 minutes
06-01-2025 23:55     31%   19 hours and  49 minutes
07-01-2025 00:12     32%   19 hours and  32 minutes
07-01-2025 00:29     33%   19 hours and  15 minutes
07-01-2025 00:47     34%   18 hours and  58 minutes
07-01-2025 01:04     35%   18 hours and  41 minutes
07-01-2025 01:21     36%   18 hours and  23 minutes
07-01-2025 01:38     37%   18 hours and   5 minutes
07-01-2025 01:55     38%   17 hours and  47 minutes
07-01-2025 02:12     39%   17 hours and  30 minutes
07-01-2025 02:29     40%   17 hours and  13 minutes
07-01-2025 02:47     41%   16 hours and  56 minutes
07-01-2025 03:04     42%   16 hours and  39 minutes
07-01-2025 03:22     43%   16 hours and  22 minutes
07-01-2025 03:39     44%   16 hours and   5 minutes
07-01-2025 03:57     45%   15 hours and  48 minutes
07-01-2025 04:14     46%   15 hours and  31 minutes
07-01-2025 04:31     47%   15 hours and  14 minutes
07-01-2025 04:49     48%   14 hours and  57 minutes
07-01-2025 05:06     49%   14 hours and  39 minutes
07-01-2025 05:23     50%   14 hours and  22 minutes
07-01-2025 05:40     51%   14 hours and   5 minutes
07-01-2025 05:58     52%   13 hours and  48 minutes
07-01-2025 06:16     53%   13 hours and  31 minutes
07-01-2025 06:33     54%   13 hours and  14 minutes
07-01-2025 06:51     55%   12 hours and  57 minutes
07-01-2025 07:09     56%   12 hours and  40 minutes
07-01-2025 07:26     57%   12 hours and  23 minutes
07-01-2025 07:43     58%   12 hours and   5 minutes
07-01-2025 08:00     59%   11 hours and  48 minutes
07-01-2025 08:17     60%   11 hours and  31 minutes
07-01-2025 08:35     61%   11 hours and  13 minutes
07-01-2025 08:52     62%   10 hours and  56 minutes
07-01-2025 09:09     63%   10 hours and  39 minutes
07-01-2025 09:26     64%   10 hours and  22 minutes
07-01-2025 09:44     65%   10 hours and   4 minutes
07-01-2025 10:01     66%    9 hours and  47 minutes
07-01-2025 10:18     67%    9 hours and  30 minutes
07-01-2025 10:36     68%    9 hours and  13 minutes
07-01-2025 10:53     69%    8 hours and  55 minutes
07-01-2025 11:10     70%    8 hours and  38 minutes
07-01-2025 11:28     71%    8 hours and  21 minutes
07-01-2025 11:46     72%    8 hours and   4 minutes
07-01-2025 12:02     73%    7 hours and  46 minutes
07-01-2025 12:19     74%    7 hours and  29 minutes
07-01-2025 12:37     75%    7 hours and  12 minutes
07-01-2025 12:54     76%    6 hours and  54 minutes
07-01-2025 13:11     77%    6 hours and  37 minutes
07-01-2025 13:28     78%    6 hours and  20 minutes
07-01-2025 13:46     79%    6 hours and   3 minutes
07-01-2025 14:04     80%    5 hours and  45 minutes
07-01-2025 14:21     81%    5 hours and  28 minutes
07-01-2025 14:38     82%    5 hours and  11 minutes
07-01-2025 14:56     83%    4 hours and  54 minutes
07-01-2025 15:14     84%    4 hours and  36 minutes
07-01-2025 15:31     85%    4 hours and  19 minutes
07-01-2025 15:48     86%    4 hours and   2 minutes
07-01-2025 16:06     87%    3 hours and  44 minutes
07-01-2025 16:23     88%    3 hours and  27 minutes
07-01-2025 16:41     89%    3 hours and  10 minutes
07-01-2025 16:58     90%    2 hours and  53 minutes
07-01-2025 17:16     91%    2 hours and  35 minutes
07-01-2025 17:33     92%    2 hours and  18 minutes
07-01-2025 17:51     93%    2 hours and   1 minutes
07-01-2025 18:08     94%    1 hours and  43 minutes
07-01-2025 18:25     95%    1 hours and  26 minutes
07-01-2025 18:43     96%    1 hours and   9 minutes
07-01-2025 19:00     97%   51 minutes and 56 seconds
07-01-2025 19:17     98%   34 minutes and 36 seconds
07-01-2025 19:34     99%   17 minutes and 18 seconds
07-01-2025 19:51    100%    0 minutes and  0 seconds
