# Time-averaged data for fix DensAve
# TimeStep v_Density
20000 0.113649
40000 0.110167
60000 0.110613
80000 0.112302
100000 0.109063
120000 0.113729
140000 0.110974
160000 0.115289
180000 0.11111
200000 0.119058
220000 0.118771
240000 0.11387
260000 0.114331
280000 0.113009
300000 0.112154
320000 0.114205
340000 0.11046
360000 0.110689
380000 0.11244
400000 0.114276
420000 0.113502
440000 0.110709
460000 0.113413
480000 0.115279
500000 0.112794
520000 0.11427
540000 0.111733
560000 0.116036
580000 0.114113
600000 0.117468
620000 0.115564
640000 0.113841
660000 0.111195
680000 0.110461
700000 0.110844
720000 0.116369
740000 0.11422
760000 0.116243
780000 0.115866
800000 0.112552
820000 0.11283
840000 0.113485
860000 0.114072
880000 0.117364
900000 0.115556
920000 0.1106
940000 0.115341
960000 0.114038
980000 0.117591
1000000 0.11683
1020000 0.113714
1040000 0.117176
1060000 0.114448
1080000 0.114577
1100000 0.11575
1120000 0.113257
1140000 0.115265
1160000 0.113781
1180000 0.113068
1200000 0.110021
1220000 0.112759
1240000 0.112663
1260000 0.110727
1280000 0.114053
1300000 0.118782
1320000 0.112434
1340000 0.113586
1360000 0.114335
1380000 0.113575
1400000 0.116708
1420000 0.113731
1440000 0.116379
1460000 0.114518
1480000 0.112144
1500000 0.114748
1520000 0.11383
1540000 0.113806
1560000 0.118784
1580000 0.115273
1600000 0.113409
1620000 0.108148
1640000 0.108544
1660000 0.115858
1680000 0.115147
1700000 0.118489
1720000 0.116367
1740000 0.116309
1760000 0.112898
1780000 0.111822
1800000 0.112396
1820000 0.114705
1840000 0.11323
1860000 0.1138
1880000 0.115358
1900000 0.115826
1920000 0.118752
1940000 0.115493
1960000 0.114291
1980000 0.112546
2000000 0.114636
