Simulation state at cycle:    1100000
##############################################################################                                           

Number-of-molecules: 401   

Box-size(s):    28.262507   50.583143

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.6214855008E+000
Box 2    0.2531944555E+002

Rotation per molecule type
Box 1    0.1208770957E+003
Box 2    0.1800000000E+003

Volume    Delta_Volume
Box 1   0.4228078623E+003
Box 2   0.1957443807E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 387   
Atomtype         X                  Y                   Z
  1        7.3873511005        9.9152158887       21.9564361173
  2        7.4927773045        9.8564137588       21.4198472383
  1        7.5935022521        9.7981441705       20.8822980415
  1        4.2801171018        4.5755699437       13.3800606210
  2        4.4608050567        4.3997981351       12.8912292244
  1        4.6120338845        4.2325034865       12.3895895717
  1       20.4930598497       13.2206789999        9.9994552850
  2       20.2605779502       13.0272168899        9.5400811690
  1       20.0598903206       12.8411376399        9.0630078130
  1        3.7856746333       21.5757694569       -0.1101044115
  2        3.6339371565       21.0836227805        0.0829432174
  1        3.4601674145       20.5963363969        0.2696409842
  1        3.5416117794        8.4477777918       11.5156115984
  2        3.7266155931        8.1694677424       11.9524377713
  1        3.9339199373        7.9073839159       12.3892866877
  1        3.7274229357        3.7182865678       17.6309207206
  2        3.9917340396        3.6543534042       17.1528493965
  1        4.2462690156        3.5799282727       16.6710062220
  1       10.4449231991        3.0167765990       14.3189800069
  2       10.3881488240        2.4717681502       14.3663346379
  1       10.3141307777        1.9306333529       14.4310992807
  1       11.5495268268       26.1058819287       14.9333251071
  2       11.2667532659       26.4644734269       15.2398397896
  1       10.9836275581       26.8186427960       15.5511336871
  1       18.8994998384       18.6485742469        6.5108937488
  2       19.4473099864       18.6936547280        6.5301756592
  1       19.9936224442       18.7572162827        6.5317962120
  1       20.7845106056        8.1320139565        3.6600963102
  2       20.8387872151        7.6802886602        3.3510683078
  1       20.8814439099        7.2401097414        3.0240775972
  1       14.3077448749       26.4765957379        3.3888841924
  2       13.9139244710       26.2687692620        3.0660628094
  1       13.5151918894       26.0589880155        2.7506200158
  1        8.7226582587       27.4748008467        2.9497125693
  2        8.8957389818       27.7469374415        3.3952288283
  1        9.0925611149       28.0167410911        3.8322265830
  1       25.7044743265       12.1782112312        7.7660300259
  2       26.0581525263       11.7908682179        7.9314903567
  1       26.4183102646       11.4119965980        8.1024953219
  1       23.9299285100       20.5228510706       21.7162858987
  2       23.8276066305       21.0504028021       21.5991560413
  1       23.7675013613       21.5874182991       21.4966781818
  1       13.5404514535        7.3549481036        4.6305779773
