Date and Time     Completed      Estimated Time Left
06-01-2025 15:21      1%    1 days and   9 hours
06-01-2025 15:41      2%    1 days and   9 hours
06-01-2025 16:00      3%    1 days and   9 hours
06-01-2025 16:20      4%    1 days and   8 hours
06-01-2025 16:40      5%    1 days and   8 hours
06-01-2025 17:00      6%    1 days and   8 hours
06-01-2025 17:19      7%    1 days and   7 hours
06-01-2025 17:39      8%    1 days and   7 hours
06-01-2025 17:59      9%    1 days and   6 hours
06-01-2025 18:18     10%    1 days and   6 hours
06-01-2025 18:38     11%    1 days and   6 hours
06-01-2025 18:57     12%    1 days and   5 hours
06-01-2025 19:17     13%    1 days and   5 hours
06-01-2025 19:36     14%    1 days and   5 hours
06-01-2025 19:56     15%    1 days and   4 hours
06-01-2025 20:15     16%    1 days and   4 hours
06-01-2025 20:34     17%    1 days and   4 hours
06-01-2025 20:54     18%    1 days and   3 hours
06-01-2025 21:13     19%    1 days and   3 hours
06-01-2025 21:33     20%    1 days and   3 hours
06-01-2025 21:52     21%    1 days and   2 hours
06-01-2025 22:12     22%    1 days and   2 hours
06-01-2025 22:31     23%    1 days and   2 hours
06-01-2025 22:51     24%    1 days and   1 hours
06-01-2025 23:10     25%    1 days and   1 hours
06-01-2025 23:29     26%    1 days and   1 hours
06-01-2025 23:49     27%   23 hours and  47 minutes
07-01-2025 00:08     28%   23 hours and  27 minutes
07-01-2025 00:28     29%   23 hours and   8 minutes
07-01-2025 00:47     30%   22 hours and  48 minutes
07-01-2025 01:06     31%   22 hours and  27 minutes
07-01-2025 01:26     32%   22 hours and   8 minutes
07-01-2025 01:46     33%   21 hours and  50 minutes
07-01-2025 02:06     34%   21 hours and  31 minutes
07-01-2025 02:26     35%   21 hours and  11 minutes
07-01-2025 02:45     36%   20 hours and  52 minutes
07-01-2025 03:05     37%   20 hours and  32 minutes
07-01-2025 03:24     38%   20 hours and  12 minutes
07-01-2025 03:44     39%   19 hours and  53 minutes
07-01-2025 04:04     40%   19 hours and  34 minutes
07-01-2025 04:23     41%   19 hours and  14 minutes
07-01-2025 04:42     42%   18 hours and  54 minutes
07-01-2025 05:01     43%   18 hours and  33 minutes
07-01-2025 05:20     44%   18 hours and  13 minutes
07-01-2025 05:40     45%   17 hours and  54 minutes
07-01-2025 06:00     46%   17 hours and  35 minutes
07-01-2025 06:20     47%   17 hours and  16 minutes
07-01-2025 06:39     48%   16 hours and  56 minutes
07-01-2025 07:00     49%   16 hours and  38 minutes
07-01-2025 07:20     50%   16 hours and  18 minutes
07-01-2025 07:39     51%   15 hours and  59 minutes
07-01-2025 07:59     52%   15 hours and  39 minutes
07-01-2025 08:18     53%   15 hours and  20 minutes
07-01-2025 08:38     54%   15 hours and   0 minutes
07-01-2025 08:57     55%   14 hours and  40 minutes
07-01-2025 09:17     56%   14 hours and  21 minutes
07-01-2025 09:37     57%   14 hours and   2 minutes
07-01-2025 09:56     58%   13 hours and  41 minutes
07-01-2025 10:15     59%   13 hours and  22 minutes
07-01-2025 10:34     60%   13 hours and   2 minutes
07-01-2025 10:53     61%   12 hours and  42 minutes
07-01-2025 11:12     62%   12 hours and  22 minutes
07-01-2025 11:32     63%   12 hours and   2 minutes
07-01-2025 11:52     64%   11 hours and  43 minutes
07-01-2025 12:12     65%   11 hours and  24 minutes
07-01-2025 12:33     66%   11 hours and   5 minutes
07-01-2025 12:53     67%   10 hours and  46 minutes
07-01-2025 13:13     68%   10 hours and  26 minutes
07-01-2025 13:33     69%   10 hours and   7 minutes
07-01-2025 13:53     70%    9 hours and  47 minutes
07-01-2025 14:12     71%    9 hours and  28 minutes
07-01-2025 14:31     72%    9 hours and   8 minutes
07-01-2025 14:50     73%    8 hours and  48 minutes
07-01-2025 15:09     74%    8 hours and  28 minutes
07-01-2025 15:28     75%    8 hours and   9 minutes
07-01-2025 15:48     76%    7 hours and  49 minutes
07-01-2025 16:07     77%    7 hours and  29 minutes
07-01-2025 16:27     78%    7 hours and  10 minutes
07-01-2025 16:47     79%    6 hours and  50 minutes
07-01-2025 17:07     80%    6 hours and  31 minutes
07-01-2025 17:26     81%    6 hours and  11 minutes
07-01-2025 17:45     82%    5 hours and  52 minutes
07-01-2025 18:05     83%    5 hours and  32 minutes
07-01-2025 18:25     84%    5 hours and  13 minutes
07-01-2025 18:45     85%    4 hours and  53 minutes
07-01-2025 19:03     86%    4 hours and  33 minutes
07-01-2025 19:22     87%    4 hours and  14 minutes
07-01-2025 19:42     88%    3 hours and  54 minutes
07-01-2025 20:01     89%    3 hours and  35 minutes
07-01-2025 20:20     90%    3 hours and  15 minutes
07-01-2025 20:40     91%    2 hours and  55 minutes
07-01-2025 21:00     92%    2 hours and  36 minutes
07-01-2025 21:19     93%    2 hours and  16 minutes
07-01-2025 21:40     94%    1 hours and  57 minutes
07-01-2025 22:00     95%    1 hours and  37 minutes
07-01-2025 22:19     96%    1 hours and  18 minutes
07-01-2025 22:38     97%   58 minutes and 41 seconds
07-01-2025 22:58     98%   39 minutes and  7 seconds
07-01-2025 23:17     99%   19 minutes and 33 seconds
07-01-2025 23:37    100%    0 minutes and  0 seconds
