Simulation state at cycle:    1100000
##############################################################################                                           

Number-of-molecules: 401   

Box-size(s):    27.477011   50.820494

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.4765773344E+000
Box 2    0.2540980532E+002

Rotation per molecule type
Box 1    0.7666395692E+002
Box 2    0.1800000000E+003

Volume    Delta_Volume
Box 1   0.3067737379E+003
Box 2   0.1420248786E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 399   
Atomtype         X                  Y                   Z
  1        6.2517610352        0.3943464877       24.4566902571
  2        5.8046187729        0.7043312199       24.3762336655
  1        5.3632071209        1.0211783720       24.2910067058
  1        8.3341422723       20.7102977148        7.4040710518
  2        7.8209688077       20.7045116077        7.6018575938
  1        7.3124420542       20.6902096900        7.8108934641
  1        9.4921073016       16.9820437996       -0.1059709006
  2        9.5399505259       16.7830729147        0.4045402284
  1        9.5803878736       16.5971257957        0.9205717088
  1       15.2909935408        2.0116076451       14.0827504623
  2       15.5611198902        1.5394819542       14.0013312547
  1       15.8359926632        1.0677506722       13.9348891357
  1        9.4578993575       17.6688398357        8.7015746417
  2        8.9675594936       17.7054099145        8.9480080957
  1        8.4719747246       17.7364001919        9.1845146250
  1       14.3139289212       15.6671879604       11.2931022487
  2       13.9116096026       15.7759945920       11.6519898116
  1       13.5144281601       15.9071150444       12.0091372989
  1        6.1916883332        2.4621331378       17.9196040012
  2        6.6356269926        2.6556313072       18.1803278496
  1        7.0692352450        2.8549712553       18.4537276805
  1       17.0253502973       10.3199938461        1.8726843561
  2       16.9160589554       10.2980641748        1.3340987156
  1       16.8032526175       10.2714182787        0.7964513169
  1        4.8938591547        8.2737054471        3.7889509326
  2        4.4993219877        7.9055585753        3.8952914451
  1        4.1081386916        7.5269817179        3.9737464700
  1       20.1705631684        1.8593399199        2.6050691196
  2       19.7337953174        1.9815396315        2.9161978307
  1       19.2920109984        2.1084501182        3.2182248871
  1        3.4474686066        2.3041200905       15.7655013540
  2        3.0460987685        2.4260367269       16.1212239802
  1        2.6454825977        2.5418618703       16.4798201581
  1       16.0389007322        8.8066812442       11.2325151942
  2       15.9710632348        9.3514198738       11.1984872733
  1       15.8932885504        9.8958642294       11.1928800356
  1        7.2443719485       21.2578743769       23.4525399786
  2        7.5613035395       21.0199388217       23.0711726515
  1        7.8801976714       20.7755487791       22.6955664232
  1       16.0432524477        5.3962256176       12.9138700978
  2       16.1769745623        5.5951031004       12.4188285411
  1       16.3430539642        5.8070767615       11.9392612379
  1       24.7773278611       10.9148460135       18.6362412591
  2       25.1704583784       11.2936998188       18.5697717881
  1       25.5789276697       11.6515277429       18.4825249328
  1       22.0181478701       27.0581733730       11.7225659638
  2       21.7708659679       27.1178466676       12.2102039019
  1       21.5443984498       27.1732729460       12.7083408207
  1       24.8597496065       26.7453990264       18.7072324761
  2       24.7619064306       26.2157902842       18.8187730210
  1       24.6557902612       25.6866210866       18.9246943022
  1        4.5128413411       19.6268105116       26.5437507027
  2        4.1832997205       19.1889181817       26.4973542827
  1        3.8416430269       18.7631494442       26.4303342494
  1        5.1522897646       24.9472698886        7.8890371651
  2        5.2892178380       24.5509455332        8.2449552850
  1        5.4351907207       24.1602885238        8.6035344498
  1        1.8590827306       20.3800478011       20.7092779392
  2        1.7879428149       20.1906514308       20.1978406241
  1        1.7133141178       19.9947898714       19.6893440104
  1       16.3546395854       14.2807924590       26.7799794039
  2       16.6271775541       13.8890112264       26.5066105662
  1       16.9350230020       13.5242792001       26.2332943973
  1       13.1845537946        1.7956001665        7.1819529853
  2       13.4460348869        1.3192640809        7.2669916353
  1       13.7089149801        0.8457978388        7.3630321123
  1        6.2045415398       14.4893636266       22.1603643183
  2        5.8188906514       14.6586025519       21.8066248966
  1        5.4368412855       14.8458189798       21.4580731929
  1        7.0612100862        0.3684972836       20.7456101711
  2        7.3569466582        0.7278359799       21.0387237691
  1        7.6334518276        1.0996844777       21.3349898404
  1        6.2399692529       17.9734066534        1.7335699393
  2        6.2904309889       17.5941851767        2.1287214100
  1        6.3763324305       17.2137583243        2.5165310944
  1       26.1523024492        0.2610148853       26.4887749796
  2       25.7910586460        0.0066660898       26.8163564273
  1       25.4353795904       -0.2669081522       27.1343965860
  1       13.5058007998       19.5835289685       20.3620685991
  2       13.2721850629       19.7665383634       20.8251358176
  1       13.0459057014       19.9507581785       21.2913554110
  1        6.5588982839       11.6780319957       19.4526510804
  2        6.1765114838       11.9810041703       19.1987058176
  1        5.8084727641       12.2770940831       18.9169643344
  1        5.3886633898        8.2763168516       16.0189216191
  2        5.0386516497        8.6169818909       16.2717834645
  1        4.6788911367        8.9531960377       16.5167986062
  1       20.1389636811        8.7469737839        3.0031978286
  2       20.5996851079        8.4869619584        3.1536292665
  1       21.0644151723        8.2403583979        3.3139809119
  1       27.1632877823       12.2427543437        1.7198332843
  2       26.6267691726       12.3610265287        1.7455134640
  1       26.0884264123       12.4703883407        1.7724776158
  1       15.6815030188       16.3956791682       20.2525364861
  2       15.9478339161       16.5608722953       20.7045089232
  1       16.2342349304       16.7072840497       21.1506457364
  1       11.4841430822       26.6911247559        9.0839240831
  2       11.5081826068       26.1458259978        9.0163122080
  1       11.5421429582       25.6032631341        8.9328123128
  1       15.5186010198       19.0360054740       12.1001921884
  2       15.8830470775       18.9162923592       12.4943340932
  1       16.2644987793       18.7627491817       12.8595998743
  1       13.7066913295       10.4601780424        2.2040844608
  2       13.5161173880       10.7902182434        2.6006384149
  1       13.3173032273       11.1056825842        3.0049343192
  1       20.1810506560       26.9896680772       23.1709205260
  2       20.0269234552       26.8965315158       23.6906034937
  1       19.8560886067       26.8104184628       24.2062584128
  1       26.0385869699       13.5798900427        5.8110711928
  2       26.4076708142       13.2472579632        5.5752046722
  1       26.7876425476       12.9231608858        5.3448081331
  1       15.0875137298       12.0997676960        6.2789151654
  2       15.1054089446       12.5874422047        6.0252355745
  1       15.1211390315       13.0763842598        5.7738628828
  1       -0.2202065756        3.6985779046       -0.2902877420
  2        0.0852884760        3.5251705630        0.1329174887
  1        0.3801104350        3.3448252425        0.5607674354
  1        0.5664975169        5.5649064485        6.7573143165
  2        0.1953287909        5.9707744594        6.7550929067
  1       -0.1949295091        6.3583287473        6.7547293382
  1       13.5163570038        0.1275505885       19.9644226331
  2       13.0896802651        0.2594675894       20.2854286541
  1       12.6816811780        0.4028524788       20.6252484850
  1       18.6996875902        1.8119162011       11.1994255760
  2       18.4227800418        2.2541172202       11.3734384157
  1       18.1483251372        2.6894528769       11.5674934861
  1        9.3768673445       12.7730343311       26.0058647371
  2        9.7840934935       12.5130199485       25.7430732144
  1       10.1829498170       12.2411314196       25.4794631614
  1       21.3561225458       13.0234140645       13.2547368074
  2       21.8774116618       13.0449002764       13.4287942698
  1       22.4004706373       13.0492576612       13.5987657978
  1        6.8185076803        2.5295320255        0.1247161696
  2        7.0699869136        3.0067782374        0.0175049367
  1        7.3370167424        3.4739495583       -0.0962756697
  1        3.7513204894        1.4461761850        2.0312846716
  2        4.2206911423        1.1741194412        2.1217076690
  1        4.6978446390        0.9201334866        2.2232737773
  1       21.2683964122       27.0751832713       18.7149438705
  2       21.0771232929       26.7243787230       19.0928999034
  1       20.8975745450       26.3694466022       19.4727491310
  1       23.2232383415        6.7360201027       13.7545325167
  2       23.4807118806        6.3283874025       14.0191888191
  1       23.7162489494        5.9074415586       14.2834365906
  1        7.6111020731       21.5912520666       16.7740636768
  2        7.6937934754       21.9533586379       17.1797001680
  1        7.7585758678       22.3294634406       17.5757410978
  1        7.0049730380       13.3185068124        3.3730915332
  2        7.1408420855       13.3215086818        3.9060367374
  1        7.2901510122       13.3450126376        4.4348603445
  1       20.5797107661        2.6463629597       19.1634424575
  2       20.2141432599        2.5638221992       19.5659935987
  1       19.8540836105        2.4884911066       19.9748728894
  1       22.3792972328       21.3122322706        3.8410733452
  2       22.3830002354       21.7567303538        3.5171786990
  1       22.3677947620       22.2003583639        3.1924280543
  1        7.4287698896        6.6322494979       18.3550269437
  2        7.9397568901        6.7904374859       18.4829677337
  1        8.4403700186        6.9715732160       18.6210848647
  1       10.2255411780       12.9160876886        1.9059815079
  2       10.3803751526       12.4453893349        1.6672986636
  1       10.5304684054       11.9692051306        1.4366027207
  1       16.7862813197       20.8759530396        5.6562159428
  2       17.1218165002       21.3071746295        5.5932549779
  1       17.4708638784       21.7234965941        5.5075698072
