Date and Time     Completed      Estimated Time Left
06-01-2025 15:24      1%    1 days and  14 hours
06-01-2025 15:48      2%    1 days and  15 hours
06-01-2025 16:13      3%    1 days and  15 hours
06-01-2025 16:37      4%    1 days and  15 hours
06-01-2025 17:02      5%    1 days and  15 hours
06-01-2025 17:26      6%    1 days and  14 hours
06-01-2025 17:50      7%    1 days and  14 hours
06-01-2025 18:15      8%    1 days and  14 hours
06-01-2025 18:39      9%    1 days and  13 hours
06-01-2025 19:03     10%    1 days and  13 hours
06-01-2025 19:27     11%    1 days and  12 hours
06-01-2025 19:51     12%    1 days and  12 hours
06-01-2025 20:15     13%    1 days and  12 hours
06-01-2025 20:39     14%    1 days and  11 hours
06-01-2025 21:04     15%    1 days and  11 hours
06-01-2025 21:28     16%    1 days and  10 hours
06-01-2025 21:52     17%    1 days and  10 hours
06-01-2025 22:16     18%    1 days and  10 hours
06-01-2025 22:40     19%    1 days and   9 hours
06-01-2025 23:04     20%    1 days and   9 hours
06-01-2025 23:29     21%    1 days and   8 hours
06-01-2025 23:54     22%    1 days and   8 hours
07-01-2025 00:18     23%    1 days and   8 hours
07-01-2025 00:43     24%    1 days and   7 hours
07-01-2025 01:06     25%    1 days and   7 hours
07-01-2025 01:30     26%    1 days and   6 hours
07-01-2025 01:54     27%    1 days and   6 hours
07-01-2025 02:19     28%    1 days and   6 hours
07-01-2025 02:43     29%    1 days and   5 hours
07-01-2025 03:08     30%    1 days and   5 hours
07-01-2025 03:32     31%    1 days and   4 hours
07-01-2025 03:57     32%    1 days and   4 hours
07-01-2025 04:21     33%    1 days and   4 hours
07-01-2025 04:46     34%    1 days and   3 hours
07-01-2025 05:11     35%    1 days and   3 hours
07-01-2025 05:34     36%    1 days and   2 hours
07-01-2025 05:58     37%    1 days and   2 hours
07-01-2025 06:22     38%    1 days and   2 hours
07-01-2025 06:47     39%    1 days and   1 hours
07-01-2025 07:12     40%    1 days and   1 hours
07-01-2025 07:36     41%   23 hours and  51 minutes
07-01-2025 08:00     42%   23 hours and  27 minutes
07-01-2025 08:24     43%   23 hours and   2 minutes
07-01-2025 08:48     44%   22 hours and  38 minutes
07-01-2025 09:13     45%   22 hours and  14 minutes
07-01-2025 09:37     46%   21 hours and  50 minutes
07-01-2025 10:02     47%   21 hours and  26 minutes
07-01-2025 10:26     48%   21 hours and   2 minutes
07-01-2025 10:50     49%   20 hours and  37 minutes
07-01-2025 11:14     50%   20 hours and  12 minutes
07-01-2025 11:38     51%   19 hours and  48 minutes
07-01-2025 12:03     52%   19 hours and  24 minutes
07-01-2025 12:27     53%   19 hours and   1 minutes
07-01-2025 12:52     54%   18 hours and  37 minutes
07-01-2025 13:17     55%   18 hours and  13 minutes
07-01-2025 13:41     56%   17 hours and  49 minutes
07-01-2025 14:06     57%   17 hours and  24 minutes
07-01-2025 14:30     58%   17 hours and   0 minutes
07-01-2025 14:54     59%   16 hours and  36 minutes
07-01-2025 15:19     60%   16 hours and  11 minutes
07-01-2025 15:43     61%   15 hours and  47 minutes
07-01-2025 16:08     62%   15 hours and  23 minutes
07-01-2025 16:32     63%   14 hours and  59 minutes
07-01-2025 16:57     64%   14 hours and  35 minutes
07-01-2025 17:20     65%   14 hours and  10 minutes
07-01-2025 17:45     66%   13 hours and  46 minutes
07-01-2025 18:09     67%   13 hours and  21 minutes
07-01-2025 18:34     68%   12 hours and  57 minutes
07-01-2025 18:58     69%   12 hours and  33 minutes
07-01-2025 19:23     70%   12 hours and   9 minutes
07-01-2025 19:48     71%   11 hours and  45 minutes
07-01-2025 20:13     72%   11 hours and  21 minutes
07-01-2025 20:37     73%   10 hours and  56 minutes
07-01-2025 21:01     74%   10 hours and  32 minutes
07-01-2025 21:25     75%   10 hours and   8 minutes
07-01-2025 21:50     76%    9 hours and  43 minutes
07-01-2025 22:14     77%    9 hours and  19 minutes
07-01-2025 22:38     78%    8 hours and  55 minutes
07-01-2025 23:03     79%    8 hours and  30 minutes
07-01-2025 23:28     80%    8 hours and   6 minutes
07-01-2025 23:53     81%    7 hours and  42 minutes
08-01-2025 00:17     82%    7 hours and  18 minutes
08-01-2025 00:41     83%    6 hours and  53 minutes
08-01-2025 01:05     84%    6 hours and  29 minutes
08-01-2025 01:29     85%    6 hours and   4 minutes
08-01-2025 01:53     86%    5 hours and  40 minutes
