Date and Time     Completed      Estimated Time Left
06-01-2025 15:21      1%    1 days and  11 hours
06-01-2025 15:43      2%    1 days and  12 hours
06-01-2025 16:05      3%    1 days and  11 hours
06-01-2025 16:28      4%    1 days and  11 hours
06-01-2025 16:50      5%    1 days and  11 hours
06-01-2025 17:12      6%    1 days and  11 hours
06-01-2025 17:33      7%    1 days and  10 hours
06-01-2025 17:54      8%    1 days and  10 hours
06-01-2025 18:15      9%    1 days and   9 hours
06-01-2025 18:36     10%    1 days and   9 hours
06-01-2025 18:57     11%    1 days and   8 hours
06-01-2025 19:18     12%    1 days and   8 hours
06-01-2025 19:39     13%    1 days and   8 hours
06-01-2025 20:00     14%    1 days and   7 hours
06-01-2025 20:21     15%    1 days and   7 hours
06-01-2025 20:43     16%    1 days and   6 hours
06-01-2025 21:04     17%    1 days and   6 hours
06-01-2025 21:25     18%    1 days and   6 hours
06-01-2025 21:46     19%    1 days and   5 hours
06-01-2025 22:07     20%    1 days and   5 hours
06-01-2025 22:28     21%    1 days and   5 hours
06-01-2025 22:50     22%    1 days and   4 hours
06-01-2025 23:11     23%    1 days and   4 hours
06-01-2025 23:32     24%    1 days and   3 hours
06-01-2025 23:53     25%    1 days and   3 hours
07-01-2025 00:14     26%    1 days and   3 hours
07-01-2025 00:35     27%    1 days and   2 hours
07-01-2025 00:56     28%    1 days and   2 hours
07-01-2025 01:17     29%    1 days and   2 hours
07-01-2025 01:38     30%    1 days and   1 hours
07-01-2025 01:59     31%    1 days and   1 hours
07-01-2025 02:20     32%    1 days and   1 hours
07-01-2025 02:41     33%   23 hours and  41 minutes
07-01-2025 03:02     34%   23 hours and  20 minutes
07-01-2025 03:23     35%   22 hours and  59 minutes
07-01-2025 03:45     36%   22 hours and  38 minutes
07-01-2025 04:06     37%   22 hours and  17 minutes
07-01-2025 04:27     38%   21 hours and  56 minutes
07-01-2025 04:48     39%   21 hours and  34 minutes
07-01-2025 05:09     40%   21 hours and  13 minutes
07-01-2025 05:31     41%   20 hours and  51 minutes
07-01-2025 05:52     42%   20 hours and  30 minutes
07-01-2025 06:13     43%   20 hours and   8 minutes
07-01-2025 06:34     44%   19 hours and  47 minutes
07-01-2025 06:55     45%   19 hours and  26 minutes
07-01-2025 07:16     46%   19 hours and   5 minutes
07-01-2025 07:37     47%   18 hours and  43 minutes
07-01-2025 07:58     48%   18 hours and  22 minutes
07-01-2025 08:19     49%   18 hours and   1 minutes
07-01-2025 08:41     50%   17 hours and  40 minutes
07-01-2025 09:02     51%   17 hours and  18 minutes
07-01-2025 09:23     52%   16 hours and  57 minutes
07-01-2025 09:44     53%   16 hours and  36 minutes
07-01-2025 10:05     54%   16 hours and  15 minutes
07-01-2025 10:26     55%   15 hours and  53 minutes
07-01-2025 10:47     56%   15 hours and  32 minutes
07-01-2025 11:08     57%   15 hours and  11 minutes
07-01-2025 11:29     58%   14 hours and  49 minutes
07-01-2025 11:50     59%   14 hours and  28 minutes
07-01-2025 12:11     60%   14 hours and   7 minutes
07-01-2025 12:32     61%   13 hours and  45 minutes
07-01-2025 12:53     62%   13 hours and  24 minutes
07-01-2025 13:14     63%   13 hours and   3 minutes
07-01-2025 13:35     64%   12 hours and  42 minutes
07-01-2025 13:56     65%   12 hours and  20 minutes
07-01-2025 14:17     66%   11 hours and  59 minutes
07-01-2025 14:38     67%   11 hours and  38 minutes
07-01-2025 15:00     68%   11 hours and  17 minutes
07-01-2025 15:21     69%   10 hours and  55 minutes
07-01-2025 15:42     70%   10 hours and  34 minutes
07-01-2025 16:03     71%   10 hours and  13 minutes
07-01-2025 16:23     72%    9 hours and  52 minutes
07-01-2025 16:45     73%    9 hours and  31 minutes
07-01-2025 17:06     74%    9 hours and   9 minutes
07-01-2025 17:26     75%    8 hours and  48 minutes
07-01-2025 17:47     76%    8 hours and  27 minutes
07-01-2025 18:08     77%    8 hours and   6 minutes
07-01-2025 18:29     78%    7 hours and  44 minutes
07-01-2025 18:50     79%    7 hours and  23 minutes
07-01-2025 19:11     80%    7 hours and   2 minutes
07-01-2025 19:32     81%    6 hours and  41 minutes
07-01-2025 19:52     82%    6 hours and  20 minutes
07-01-2025 20:13     83%    5 hours and  58 minutes
07-01-2025 20:34     84%    5 hours and  37 minutes
07-01-2025 20:55     85%    5 hours and  16 minutes
07-01-2025 21:16     86%    4 hours and  55 minutes
07-01-2025 21:36     87%    4 hours and  34 minutes
07-01-2025 21:56     88%    4 hours and  13 minutes
07-01-2025 22:16     89%    3 hours and  51 minutes
07-01-2025 22:36     90%    3 hours and  30 minutes
07-01-2025 22:56     91%    3 hours and   9 minutes
07-01-2025 23:17     92%    2 hours and  48 minutes
07-01-2025 23:37     93%    2 hours and  27 minutes
07-01-2025 23:57     94%    2 hours and   6 minutes
08-01-2025 00:18     95%    1 hours and  45 minutes
08-01-2025 00:38     96%    1 hours and  24 minutes
08-01-2025 00:58     97%    1 hours and   2 minutes
08-01-2025 01:17     98%   41 minutes and 58 seconds
08-01-2025 01:38     99%   20 minutes and 58 seconds
08-01-2025 01:57    100%    0 minutes and  0 seconds
