Date and Time     Completed      Estimated Time Left
06-01-2025 15:23      1%    1 days and  13 hours
06-01-2025 15:45      2%    1 days and  13 hours
06-01-2025 16:08      3%    1 days and  13 hours
06-01-2025 16:31      4%    1 days and  12 hours
06-01-2025 16:53      5%    1 days and  12 hours
06-01-2025 17:16      6%    1 days and  12 hours
06-01-2025 17:38      7%    1 days and  11 hours
06-01-2025 18:00      8%    1 days and  11 hours
06-01-2025 18:23      9%    1 days and  11 hours
06-01-2025 18:46     10%    1 days and  10 hours
06-01-2025 19:08     11%    1 days and  10 hours
06-01-2025 19:31     12%    1 days and  10 hours
06-01-2025 19:54     13%    1 days and   9 hours
06-01-2025 20:16     14%    1 days and   9 hours
06-01-2025 20:39     15%    1 days and   8 hours
06-01-2025 21:02     16%    1 days and   8 hours
06-01-2025 21:25     17%    1 days and   8 hours
06-01-2025 21:47     18%    1 days and   7 hours
06-01-2025 22:10     19%    1 days and   7 hours
06-01-2025 22:33     20%    1 days and   7 hours
06-01-2025 22:55     21%    1 days and   6 hours
06-01-2025 23:18     22%    1 days and   6 hours
06-01-2025 23:41     23%    1 days and   6 hours
07-01-2025 00:05     24%    1 days and   5 hours
07-01-2025 00:28     25%    1 days and   5 hours
07-01-2025 00:50     26%    1 days and   4 hours
07-01-2025 01:13     27%    1 days and   4 hours
07-01-2025 01:36     28%    1 days and   4 hours
07-01-2025 01:59     29%    1 days and   3 hours
07-01-2025 02:22     30%    1 days and   3 hours
07-01-2025 02:45     31%    1 days and   3 hours
07-01-2025 03:08     32%    1 days and   2 hours
07-01-2025 03:31     33%    1 days and   2 hours
07-01-2025 03:53     34%    1 days and   1 hours
07-01-2025 04:16     35%    1 days and   1 hours
07-01-2025 04:39     36%    1 days and   1 hours
07-01-2025 05:02     37%   23 hours and  52 minutes
07-01-2025 05:25     38%   23 hours and  29 minutes
07-01-2025 05:47     39%   23 hours and   6 minutes
07-01-2025 06:10     40%   22 hours and  43 minutes
07-01-2025 06:33     41%   22 hours and  20 minutes
07-01-2025 06:55     42%   21 hours and  57 minutes
07-01-2025 07:18     43%   21 hours and  35 minutes
07-01-2025 07:41     44%   21 hours and  13 minutes
07-01-2025 08:04     45%   20 hours and  50 minutes
07-01-2025 08:27     46%   20 hours and  28 minutes
07-01-2025 08:50     47%   20 hours and   5 minutes
07-01-2025 09:12     48%   19 hours and  42 minutes
07-01-2025 09:35     49%   19 hours and  19 minutes
07-01-2025 09:58     50%   18 hours and  56 minutes
07-01-2025 10:21     51%   18 hours and  34 minutes
07-01-2025 10:44     52%   18 hours and  11 minutes
07-01-2025 11:06     53%   17 hours and  49 minutes
07-01-2025 11:29     54%   17 hours and  25 minutes
07-01-2025 11:51     55%   17 hours and   2 minutes
07-01-2025 12:13     56%   16 hours and  39 minutes
07-01-2025 12:35     57%   16 hours and  16 minutes
07-01-2025 12:58     58%   15 hours and  53 minutes
07-01-2025 13:20     59%   15 hours and  30 minutes
07-01-2025 13:43     60%   15 hours and   8 minutes
07-01-2025 14:06     61%   14 hours and  45 minutes
07-01-2025 14:28     62%   14 hours and  22 minutes
07-01-2025 14:51     63%   14 hours and   0 minutes
07-01-2025 15:14     64%   13 hours and  37 minutes
07-01-2025 15:37     65%   13 hours and  14 minutes
07-01-2025 15:59     66%   12 hours and  51 minutes
07-01-2025 16:22     67%   12 hours and  29 minutes
07-01-2025 16:46     68%   12 hours and   6 minutes
07-01-2025 17:08     69%   11 hours and  44 minutes
07-01-2025 17:31     70%   11 hours and  21 minutes
07-01-2025 17:54     71%   10 hours and  58 minutes
07-01-2025 18:17     72%   10 hours and  36 minutes
07-01-2025 18:39     73%   10 hours and  13 minutes
07-01-2025 19:02     74%    9 hours and  50 minutes
07-01-2025 19:24     75%    9 hours and  27 minutes
07-01-2025 19:47     76%    9 hours and   4 minutes
07-01-2025 20:09     77%    8 hours and  42 minutes
07-01-2025 20:32     78%    8 hours and  19 minutes
07-01-2025 20:55     79%    7 hours and  56 minutes
07-01-2025 21:18     80%    7 hours and  34 minutes
07-01-2025 21:41     81%    7 hours and  11 minutes
07-01-2025 22:04     82%    6 hours and  48 minutes
07-01-2025 22:26     83%    6 hours and  26 minutes
07-01-2025 22:49     84%    6 hours and   3 minutes
07-01-2025 23:13     85%    5 hours and  40 minutes
07-01-2025 23:36     86%    5 hours and  18 minutes
07-01-2025 23:58     87%    4 hours and  55 minutes
08-01-2025 00:21     88%    4 hours and  32 minutes
08-01-2025 00:43     89%    4 hours and   9 minutes
08-01-2025 01:06     90%    3 hours and  47 minutes
08-01-2025 01:29     91%    3 hours and  24 minutes
08-01-2025 01:53     92%    3 hours and   1 minutes
08-01-2025 02:15     93%    2 hours and  39 minutes
08-01-2025 02:38     94%    2 hours and  16 minutes
08-01-2025 03:00     95%    1 hours and  53 minutes
08-01-2025 03:24     96%    1 hours and  30 minutes
08-01-2025 03:47     97%    1 hours and   8 minutes
08-01-2025 04:10     98%   45 minutes and 29 seconds
08-01-2025 04:33     99%   22 minutes and 44 seconds
08-01-2025 04:55    100%    0 minutes and  0 seconds
