# Identity Change Acceptance ratios and number of Accepted and Trial Moves (per box) as a function of Lambda
 0.00500 0.00000         0         0 0.00000         0         0
 0.01500 0.00000         0         0 0.00000         0         0
 0.02500 0.00000         0         0 0.00000         0         0
 0.03500 0.00000         0         0 0.00000         0         0
 0.04500 0.00000         0         0 0.00000         0         0
 0.05500 0.00000         0         0 0.00000         0         0
 0.06500 0.00000         0         0 0.00000         0         0
 0.07500 0.00000         0         0 0.00000         0         0
 0.08500 0.00000         0         0 0.00000         0         0
 0.09500 0.00000         0         0 0.00000         0         0
 0.10500 0.00000         0         0 0.00000         0         0
 0.11500 0.00000         0         0 0.00000         0         0
 0.12500 0.00000         0         0 0.00000         0         0
 0.13500 0.00000         0         0 0.00000         0         0
 0.14500 0.00000         0         0 0.00000         0         0
 0.15500 0.00000         0         0 0.00000         0         0
 0.16500 0.00000         0         0 0.00000         0         0
 0.17500 0.00000         0         0 0.00000         0         0
 0.18500 0.00000         0         0 0.00000         0         0
 0.19500 0.00000         0         0 0.00000         0         0
 0.20500 0.00000         0         0 0.00000         0         0
 0.21500 0.00000         0         0 0.00000         0         0
 0.22500 0.00000         0         0 0.00000         0         0
 0.23500 0.00000         0         0 0.00000         0         0
 0.24500 0.00000         0         0 0.00000         0         0
 0.25500 0.00000         0         0 0.00000         0         0
 0.26500 0.00000         0         0 0.00000         0         0
 0.27500 0.00000         0         0 0.00000         0         0
 0.28500 0.00000         0         0 0.00000         0         0
 0.29500 0.00000         0         0 0.00000         0         0
 0.30500 0.00000         0         0 0.00000         0         0
 0.31500 0.00000         0         0 0.00000         0         0
 0.32500 0.00000         0         0 0.00000         0         0
 0.33500 0.00000         0         0 0.00000         0         0
 0.34500 0.00000         0         0 0.00000         0         0
 0.35500 0.00000         0         0 0.00000         0         0
 0.36500 0.00000         0         0 0.00000         0         0
 0.37500 0.00000         0         0 0.00000         0         0
 0.38500 0.00000         0         0 0.00000         0         0
 0.39500 0.00000         0         0 0.00000         0         0
 0.40500 0.00000         0         0 0.00000         0         0
 0.41500 0.00000         0         0 0.00000         0         0
 0.42500 0.00000         0         0 0.00000         0         0
 0.43500 0.00000         0         0 0.00000         0         0
 0.44500 0.00000         0         0 0.00000         0         0
 0.45500 0.00000         0         0 0.00000         0         0
 0.46500 0.00000         0         0 0.00000         0         0
 0.47500 0.00000         0         0 0.00000         0         0
 0.48500 0.00000         0         0 0.00000         0         0
 0.49500 0.00000         0         0 0.00000         0         0
 0.50500 0.00000         0         0 0.00000         0         0
 0.51500 0.00000         0         0 0.00000         0         0
 0.52500 0.00000         0         0 0.00000         0         0
 0.53500 0.00000         0         0 0.00000         0         0
 0.54500 0.00000         0         0 0.00000         0         0
 0.55500 0.00000         0         0 0.00000         0         0
 0.56500 0.00000         0         0 0.00000         0         0
 0.57500 0.00000         0         0 0.00000         0         0
 0.58500 0.00000         0         0 0.00000         0         0
 0.59500 0.00000         0         0 0.00000         0         0
 0.60500 0.00000         0         0 0.00000         0         0
 0.61500 0.00000         0         0 0.00000         0         0
 0.62500 0.00000         0         0 0.00000         0         0
 0.63500 0.00000         0         0 0.00000         0         0
 0.64500 0.00000         0         0 0.00000         0         0
 0.65500 0.00000         0         0 0.00000         0         0
 0.66500 0.00000         0         0 0.00000         0         0
 0.67500 0.00000         0         0 0.00000         0         0
 0.68500 0.00000         0         0 0.00000         0         0
 0.69500 0.00000         0         0 0.00000         0         0
 0.70500 0.86547    198372    229208 0.63482    199214    313814
 0.71500 0.86912    200593    230800 0.63717    200336    314416
 0.72500 0.87043    198215    227721 0.64460    198307    307644
 0.73500 0.87460    203368    232528 0.64146    203295    316923
 0.74500 0.87772    196090    223408 0.63926    196315    307099
 0.75500 0.88073    211300    239915 0.64644    211067    326508
 0.76500 0.88390    207657    234934 0.64186    207984    324034
 0.77500 0.89114    203687    228568 0.63266    204438    323140
 0.78500 0.88745    206703    232918 0.64358    206698    321171
 0.79500 0.88947    206255    231885 0.64922    205927    317190
 0.80500 0.88866    204740    230392 0.65510    204367    311963
 0.81500 0.89544    210838    235458 0.64794    210352    324646
 0.82500 0.89568    212609    237372 0.65106    212973    327119
 0.83500 0.89982    204911    227724 0.64619    203330    314658
 0.84500 0.89649    207352    231294 0.65675    206999    315186
 0.85500 0.89929    206106    229187 0.65545    206339    314803
 0.86500 0.90484    206092    227766 0.64314    205990    320289
 0.87500 0.90119    205304    227815 0.65901    205207    311387
 0.88500 0.90025    211448    234877 0.66437    211430    318239
 0.89500 0.90344    223889    247817 0.65738    223747    340363
 0.90500 0.90298    201479    223126 0.65963    200720    304294
 0.91500 0.91036    204547    224689 0.64727    204377    315754
 0.92500 0.90257    200600    222253 0.66600    201245    302170
 0.93500 0.89916    220056    244736 0.67829    220599    325228
 0.94500 0.91339    205618    225114 0.64495    205729    318986
 0.95500 0.90315    204319    226229 0.67208    204220    303861
 0.96500 0.90645    202822    223753 0.66388    202873    305585
 0.97500 0.90716    197978    218240 0.66101    197886    299367
 0.98500 0.91044    205640    225868 0.66001    206228    312460
 0.99500 0.91237    204881    224558 0.65290    205273    314401


