Date and Time     Completed      Estimated Time Left
06-01-2025 15:20      1%    1 days and   8 hours
06-01-2025 15:40      2%    1 days and   9 hours
06-01-2025 16:02      3%    1 days and   9 hours
06-01-2025 16:23      4%    1 days and   9 hours
06-01-2025 16:44      5%    1 days and   9 hours
06-01-2025 17:06      6%    1 days and   9 hours
06-01-2025 17:27      7%    1 days and   9 hours
06-01-2025 17:49      8%    1 days and   9 hours
06-01-2025 18:10      9%    1 days and   8 hours
06-01-2025 18:30     10%    1 days and   8 hours
06-01-2025 18:51     11%    1 days and   8 hours
06-01-2025 19:11     12%    1 days and   7 hours
06-01-2025 19:32     13%    1 days and   7 hours
06-01-2025 19:52     14%    1 days and   6 hours
06-01-2025 20:13     15%    1 days and   6 hours
06-01-2025 20:33     16%    1 days and   6 hours
06-01-2025 20:53     17%    1 days and   5 hours
06-01-2025 21:14     18%    1 days and   5 hours
06-01-2025 21:35     19%    1 days and   4 hours
06-01-2025 21:55     20%    1 days and   4 hours
06-01-2025 22:15     21%    1 days and   4 hours
06-01-2025 22:36     22%    1 days and   3 hours
06-01-2025 22:56     23%    1 days and   3 hours
06-01-2025 23:17     24%    1 days and   3 hours
06-01-2025 23:37     25%    1 days and   2 hours
06-01-2025 23:58     26%    1 days and   2 hours
07-01-2025 00:19     27%    1 days and   2 hours
07-01-2025 00:40     28%    1 days and   1 hours
07-01-2025 01:00     29%    1 days and   1 hours
07-01-2025 01:20     30%    1 days and   1 hours
07-01-2025 01:41     31%   23 hours and  45 minutes
07-01-2025 02:02     32%   23 hours and  24 minutes
07-01-2025 02:22     33%   23 hours and   4 minutes
07-01-2025 02:43     34%   22 hours and  43 minutes
07-01-2025 03:04     35%   22 hours and  22 minutes
07-01-2025 03:25     36%   22 hours and   2 minutes
07-01-2025 03:45     37%   21 hours and  41 minutes
07-01-2025 04:06     38%   21 hours and  21 minutes
07-01-2025 04:26     39%   21 hours and   0 minutes
07-01-2025 04:47     40%   20 hours and  39 minutes
07-01-2025 05:07     41%   20 hours and  18 minutes
07-01-2025 05:28     42%   19 hours and  57 minutes
07-01-2025 05:48     43%   19 hours and  36 minutes
07-01-2025 06:09     44%   19 hours and  16 minutes
07-01-2025 06:30     45%   18 hours and  55 minutes
07-01-2025 06:50     46%   18 hours and  34 minutes
07-01-2025 07:10     47%   18 hours and  13 minutes
07-01-2025 07:31     48%   17 hours and  52 minutes
07-01-2025 07:51     49%   17 hours and  31 minutes
07-01-2025 08:12     50%   17 hours and  11 minutes
07-01-2025 08:32     51%   16 hours and  50 minutes
07-01-2025 08:53     52%   16 hours and  29 minutes
07-01-2025 09:13     53%   16 hours and   8 minutes
07-01-2025 09:33     54%   15 hours and  47 minutes
07-01-2025 09:54     55%   15 hours and  27 minutes
07-01-2025 10:14     56%   15 hours and   6 minutes
07-01-2025 10:35     57%   14 hours and  45 minutes
07-01-2025 10:55     58%   14 hours and  24 minutes
07-01-2025 11:16     59%   14 hours and   4 minutes
07-01-2025 11:36     60%   13 hours and  43 minutes
07-01-2025 11:57     61%   13 hours and  22 minutes
07-01-2025 12:17     62%   13 hours and   2 minutes
07-01-2025 12:37     63%   12 hours and  41 minutes
07-01-2025 12:57     64%   12 hours and  20 minutes
07-01-2025 13:17     65%   11 hours and  59 minutes
07-01-2025 13:37     66%   11 hours and  38 minutes
07-01-2025 13:57     67%   11 hours and  17 minutes
07-01-2025 14:17     68%   10 hours and  56 minutes
07-01-2025 14:37     69%   10 hours and  36 minutes
07-01-2025 14:57     70%   10 hours and  15 minutes
07-01-2025 15:17     71%    9 hours and  54 minutes
07-01-2025 15:37     72%    9 hours and  34 minutes
07-01-2025 15:57     73%    9 hours and  13 minutes
07-01-2025 16:17     74%    8 hours and  52 minutes
07-01-2025 16:37     75%    8 hours and  32 minutes
07-01-2025 16:57     76%    8 hours and  11 minutes
07-01-2025 17:17     77%    7 hours and  50 minutes
07-01-2025 17:37     78%    7 hours and  30 minutes
07-01-2025 17:57     79%    7 hours and   9 minutes
07-01-2025 18:18     80%    6 hours and  49 minutes
07-01-2025 18:37     81%    6 hours and  28 minutes
07-01-2025 18:57     82%    6 hours and   7 minutes
07-01-2025 19:17     83%    5 hours and  47 minutes
07-01-2025 19:37     84%    5 hours and  26 minutes
07-01-2025 19:57     85%    5 hours and   6 minutes
07-01-2025 20:18     86%    4 hours and  45 minutes
07-01-2025 20:38     87%    4 hours and  25 minutes
07-01-2025 20:58     88%    4 hours and   5 minutes
07-01-2025 21:18     89%    3 hours and  44 minutes
07-01-2025 21:38     90%    3 hours and  24 minutes
07-01-2025 21:58     91%    3 hours and   3 minutes
07-01-2025 22:19     92%    2 hours and  43 minutes
07-01-2025 22:39     93%    2 hours and  22 minutes
07-01-2025 22:59     94%    2 hours and   2 minutes
07-01-2025 23:19     95%    1 hours and  42 minutes
07-01-2025 23:39     96%    1 hours and  21 minutes
07-01-2025 23:59     97%    1 hours and   1 minutes
08-01-2025 00:19     98%   40 minutes and 46 seconds
08-01-2025 00:38     99%   20 minutes and 22 seconds
08-01-2025 00:58    100%    0 minutes and  0 seconds
