Date and Time     Completed      Estimated Time Left
06-01-2025 15:18      1%    1 days and   6 hours
06-01-2025 15:37      2%    1 days and   7 hours
06-01-2025 15:56      3%    1 days and   7 hours
06-01-2025 16:15      4%    1 days and   6 hours
06-01-2025 16:34      5%    1 days and   6 hours
06-01-2025 16:53      6%    1 days and   6 hours
06-01-2025 17:12      7%    1 days and   6 hours
06-01-2025 17:31      8%    1 days and   5 hours
06-01-2025 17:49      9%    1 days and   5 hours
06-01-2025 18:07     10%    1 days and   5 hours
06-01-2025 18:25     11%    1 days and   4 hours
06-01-2025 18:42     12%    1 days and   4 hours
06-01-2025 19:01     13%    1 days and   3 hours
06-01-2025 19:19     14%    1 days and   3 hours
06-01-2025 19:36     15%    1 days and   3 hours
06-01-2025 19:54     16%    1 days and   2 hours
06-01-2025 20:11     17%    1 days and   2 hours
06-01-2025 20:29     18%    1 days and   1 hours
06-01-2025 20:47     19%    1 days and   1 hours
06-01-2025 21:06     20%    1 days and   1 hours
06-01-2025 21:25     21%    1 days and   1 hours
06-01-2025 21:43     22%   23 hours and  45 minutes
06-01-2025 22:00     23%   23 hours and  24 minutes
06-01-2025 22:18     24%   23 hours and   5 minutes
06-01-2025 22:36     25%   22 hours and  45 minutes
06-01-2025 22:53     26%   22 hours and  25 minutes
06-01-2025 23:11     27%   22 hours and   7 minutes
06-01-2025 23:30     28%   21 hours and  49 minutes
06-01-2025 23:47     29%   21 hours and  29 minutes
07-01-2025 00:06     30%   21 hours and  11 minutes
07-01-2025 00:24     31%   20 hours and  53 minutes
07-01-2025 00:41     32%   20 hours and  34 minutes
07-01-2025 00:59     33%   20 hours and  15 minutes
07-01-2025 01:17     34%   19 hours and  56 minutes
07-01-2025 01:35     35%   19 hours and  37 minutes
07-01-2025 01:52     36%   19 hours and  18 minutes
07-01-2025 02:10     37%   18 hours and  59 minutes
07-01-2025 02:28     38%   18 hours and  40 minutes
07-01-2025 02:46     39%   18 hours and  22 minutes
07-01-2025 03:03     40%   18 hours and   4 minutes
07-01-2025 03:21     41%   17 hours and  45 minutes
07-01-2025 03:39     42%   17 hours and  27 minutes
07-01-2025 03:57     43%   17 hours and   8 minutes
07-01-2025 04:15     44%   16 hours and  50 minutes
07-01-2025 04:33     45%   16 hours and  33 minutes
07-01-2025 04:51     46%   16 hours and  14 minutes
07-01-2025 05:09     47%   15 hours and  56 minutes
07-01-2025 05:27     48%   15 hours and  38 minutes
07-01-2025 05:45     49%   15 hours and  21 minutes
07-01-2025 06:04     50%   15 hours and   3 minutes
07-01-2025 06:22     51%   14 hours and  45 minutes
07-01-2025 06:41     52%   14 hours and  27 minutes
07-01-2025 06:58     53%   14 hours and   9 minutes
07-01-2025 07:17     54%   13 hours and  51 minutes
07-01-2025 07:35     55%   13 hours and  33 minutes
07-01-2025 07:53     56%   13 hours and  15 minutes
07-01-2025 08:11     57%   12 hours and  57 minutes
07-01-2025 08:29     58%   12 hours and  38 minutes
07-01-2025 08:46     59%   12 hours and  20 minutes
07-01-2025 09:04     60%   12 hours and   2 minutes
07-01-2025 09:22     61%   11 hours and  44 minutes
07-01-2025 09:40     62%   11 hours and  26 minutes
07-01-2025 09:59     63%   11 hours and   8 minutes
07-01-2025 10:17     64%   10 hours and  50 minutes
07-01-2025 10:35     65%   10 hours and  32 minutes
07-01-2025 10:52     66%   10 hours and  14 minutes
07-01-2025 11:10     67%    9 hours and  55 minutes
07-01-2025 11:28     68%    9 hours and  37 minutes
07-01-2025 11:46     69%    9 hours and  19 minutes
07-01-2025 12:04     70%    9 hours and   1 minutes
07-01-2025 12:23     71%    8 hours and  43 minutes
07-01-2025 12:41     72%    8 hours and  25 minutes
07-01-2025 12:59     73%    8 hours and   7 minutes
07-01-2025 13:17     74%    7 hours and  49 minutes
07-01-2025 13:34     75%    7 hours and  31 minutes
07-01-2025 13:52     76%    7 hours and  13 minutes
07-01-2025 14:10     77%    6 hours and  55 minutes
07-01-2025 14:29     78%    6 hours and  37 minutes
07-01-2025 14:47     79%    6 hours and  19 minutes
07-01-2025 15:05     80%    6 hours and   0 minutes
07-01-2025 15:22     81%    5 hours and  42 minutes
07-01-2025 15:40     82%    5 hours and  24 minutes
07-01-2025 15:58     83%    5 hours and   6 minutes
07-01-2025 16:17     84%    4 hours and  48 minutes
07-01-2025 16:35     85%    4 hours and  30 minutes
07-01-2025 16:53     86%    4 hours and  12 minutes
07-01-2025 17:11     87%    3 hours and  54 minutes
07-01-2025 17:29     88%    3 hours and  36 minutes
07-01-2025 17:47     89%    3 hours and  18 minutes
07-01-2025 18:05     90%    3 hours and   0 minutes
07-01-2025 18:23     91%    2 hours and  42 minutes
07-01-2025 18:42     92%    2 hours and  24 minutes
07-01-2025 18:59     93%    2 hours and   6 minutes
07-01-2025 19:17     94%    1 hours and  48 minutes
07-01-2025 19:35     95%    1 hours and  30 minutes
07-01-2025 19:53     96%    1 hours and  12 minutes
07-01-2025 20:11     97%   54 minutes and  8 seconds
07-01-2025 20:30     98%   36 minutes and  6 seconds
07-01-2025 20:48     99%   18 minutes and  3 seconds
07-01-2025 21:06    100%    0 minutes and  0 seconds
