Date and Time     Completed      Estimated Time Left
06-01-2025 15:23      1%    1 days and  13 hours
06-01-2025 15:46      2%    1 days and  13 hours
06-01-2025 16:09      3%    1 days and  13 hours
06-01-2025 16:32      4%    1 days and  13 hours
06-01-2025 16:55      5%    1 days and  13 hours
06-01-2025 17:18      6%    1 days and  12 hours
06-01-2025 17:41      7%    1 days and  12 hours
06-01-2025 18:04      8%    1 days and  12 hours
06-01-2025 18:27      9%    1 days and  11 hours
06-01-2025 18:49     10%    1 days and  11 hours
06-01-2025 19:12     11%    1 days and  10 hours
06-01-2025 19:35     12%    1 days and  10 hours
06-01-2025 19:59     13%    1 days and  10 hours
06-01-2025 20:22     14%    1 days and   9 hours
06-01-2025 20:45     15%    1 days and   9 hours
06-01-2025 21:08     16%    1 days and   9 hours
06-01-2025 21:31     17%    1 days and   8 hours
06-01-2025 21:54     18%    1 days and   8 hours
06-01-2025 22:17     19%    1 days and   7 hours
06-01-2025 22:40     20%    1 days and   7 hours
06-01-2025 23:03     21%    1 days and   7 hours
06-01-2025 23:26     22%    1 days and   6 hours
06-01-2025 23:50     23%    1 days and   6 hours
07-01-2025 00:12     24%    1 days and   6 hours
07-01-2025 00:36     25%    1 days and   5 hours
07-01-2025 00:59     26%    1 days and   5 hours
07-01-2025 01:22     27%    1 days and   4 hours
07-01-2025 01:45     28%    1 days and   4 hours
07-01-2025 02:08     29%    1 days and   4 hours
07-01-2025 02:31     30%    1 days and   3 hours
07-01-2025 02:54     31%    1 days and   3 hours
07-01-2025 03:17     32%    1 days and   3 hours
07-01-2025 03:41     33%    1 days and   2 hours
07-01-2025 04:04     34%    1 days and   2 hours
07-01-2025 04:27     35%    1 days and   1 hours
07-01-2025 04:50     36%    1 days and   1 hours
07-01-2025 05:13     37%    1 days and   1 hours
07-01-2025 05:36     38%   23 hours and  48 minutes
07-01-2025 06:00     39%   23 hours and  25 minutes
07-01-2025 06:23     40%   23 hours and   2 minutes
07-01-2025 06:46     41%   22 hours and  39 minutes
07-01-2025 07:09     42%   22 hours and  16 minutes
07-01-2025 07:31     43%   21 hours and  53 minutes
07-01-2025 07:54     44%   21 hours and  29 minutes
07-01-2025 08:17     45%   21 hours and   6 minutes
07-01-2025 08:41     46%   20 hours and  44 minutes
07-01-2025 09:04     47%   20 hours and  21 minutes
07-01-2025 09:27     48%   19 hours and  58 minutes
07-01-2025 09:50     49%   19 hours and  35 minutes
07-01-2025 10:14     50%   19 hours and  12 minutes
07-01-2025 10:37     51%   18 hours and  49 minutes
07-01-2025 11:00     52%   18 hours and  26 minutes
07-01-2025 11:23     53%   18 hours and   3 minutes
07-01-2025 11:46     54%   17 hours and  40 minutes
07-01-2025 12:09     55%   17 hours and  17 minutes
07-01-2025 12:32     56%   16 hours and  54 minutes
07-01-2025 12:56     57%   16 hours and  31 minutes
07-01-2025 13:19     58%   16 hours and   8 minutes
07-01-2025 13:42     59%   15 hours and  46 minutes
07-01-2025 14:05     60%   15 hours and  23 minutes
07-01-2025 14:29     61%   15 hours and   0 minutes
07-01-2025 14:52     62%   14 hours and  37 minutes
07-01-2025 15:15     63%   14 hours and  14 minutes
07-01-2025 15:39     64%   13 hours and  51 minutes
07-01-2025 16:02     65%   13 hours and  28 minutes
07-01-2025 16:25     66%   13 hours and   5 minutes
07-01-2025 16:49     67%   12 hours and  42 minutes
07-01-2025 17:12     68%   12 hours and  19 minutes
07-01-2025 17:36     69%   11 hours and  56 minutes
07-01-2025 17:59     70%   11 hours and  33 minutes
07-01-2025 18:22     71%   11 hours and  10 minutes
07-01-2025 18:46     72%   10 hours and  47 minutes
07-01-2025 19:10     73%   10 hours and  24 minutes
07-01-2025 19:33     74%   10 hours and   1 minutes
07-01-2025 19:56     75%    9 hours and  38 minutes
07-01-2025 20:19     76%    9 hours and  15 minutes
07-01-2025 20:42     77%    8 hours and  52 minutes
07-01-2025 21:05     78%    8 hours and  28 minutes
07-01-2025 21:29     79%    8 hours and   5 minutes
07-01-2025 21:52     80%    7 hours and  42 minutes
07-01-2025 22:15     81%    7 hours and  19 minutes
07-01-2025 22:38     82%    6 hours and  56 minutes
07-01-2025 23:01     83%    6 hours and  33 minutes
07-01-2025 23:24     84%    6 hours and  10 minutes
07-01-2025 23:47     85%    5 hours and  46 minutes
08-01-2025 00:10     86%    5 hours and  23 minutes
08-01-2025 00:33     87%    5 hours and   0 minutes
08-01-2025 00:55     88%    4 hours and  37 minutes
08-01-2025 01:18     89%    4 hours and  14 minutes
08-01-2025 01:41     90%    3 hours and  51 minutes
08-01-2025 02:04     91%    3 hours and  27 minutes
08-01-2025 02:27     92%    3 hours and   4 minutes
08-01-2025 02:50     93%    2 hours and  41 minutes
08-01-2025 03:13     94%    2 hours and  18 minutes
08-01-2025 03:36     95%    1 hours and  55 minutes
08-01-2025 03:59     96%    1 hours and  32 minutes
08-01-2025 04:22     97%    1 hours and   9 minutes
08-01-2025 04:46     98%   46 minutes and 13 seconds
08-01-2025 05:08     99%   23 minutes and  6 seconds
08-01-2025 05:31    100%    0 minutes and  0 seconds
